,Unnamed: 0,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
5,6,Luis Muriel,"€ 44,423","€ 2,310,000","€ 2,353,284",F,28,Colombia,Atalanta,Serie A,2019-2020
6,7,Rafael Tolói,"€ 28,462","€ 1,480,000","€ 1,507,732",D,28,Brazil,Atalanta,Serie A,2019-2020
7,8,Marten de Roon,"€ 26,731","€ 1,390,000","€ 1,416,046",M,28,Netherlands,Atalanta,Serie A,2019-2020
8,9,Simon Kjaer,"€ 24,615","€ 1,280,000","€ 1,303,984",D,30,Denmark,Atalanta,Serie A,2019-2020
9,10,Ruslan Malinovskyi,"€ 24,615","€ 1,280,000","€ 1,303,984",M,26,Ukraine,Atalanta,Serie A,2019-2020
10,11,José Luis Palomino,"€ 21,346","€ 1,110,000","€ 1,130,799",D,29,Argentina,Atalanta,Serie A,2019-2020
11,12,Timothy Castagne,"€ 19,615","€ 1,020,000","€ 1,039,113",D,23,Belgium,Atalanta,Serie A,2019-2020
12,13,Raoul Bellanova,"€ 18,269","€ 950,000","€ 967,801",D,19,Italy,Atalanta,Serie A,2019-2020
13,14,Andrea Masiello,"€ 17,885","€ 930,000","€ 947,426",D,33,Italy,Atalanta,Serie A,2019-2020
14,15,Pierluigi Gollini,"€ 17,885","€ 930,000","€ 947,426",K,24,Italy,Atalanta,Serie A,2019-2020
15,16,Hans Hateboer,"€ 17,885","€ 930,000","€ 947,426",D,25,Netherlands,Atalanta,Serie A,2019-2020
16,17,Remo Freuler,"€ 17,885","€ 930,000","€ 947,426",M,27,Switzerland,Atalanta,Serie A,2019-2020
17,18,Adrien Tamèze,"€ 15,769","€ 820,000","€ 835,365",M,26,France,Atalanta,Serie A,2019-2020
18,19,Berat Djimsiti,"€ 14,231","€ 740,000","€ 753,866",D,26,Albania,Atalanta,Serie A,2019-2020
19,20,Lennart Czyborra,"€ 14,038","€ 730,000","€ 743,679",D,20,Germany,Atalanta,Serie A,2019-2020
20,21,Bosko Sutalo,"€ 12,500","€ 650,000","€ 662,180",D,20,Croatia,Atalanta,Serie A,2019-2020
21,22,Marco Sportiello,"€ 12,500","€ 650,000","€ 662,180",K,27,Italy,Atalanta,Serie A,2019-2020
22,23,Guilherme Arana,"€ 12,308","€ 640,000","€ 651,992",D,22,Brazil,Atalanta,Serie A,2019-2020
23,24,João Schmidt,"€ 11,538","€ 600,000","€ 611,243",M,26,Brazil,Atalanta,Serie A,2019-2020
24,25,Robin Gosens,"€ 10,769","€ 560,000","€ 570,493",D,25,Germany,Atalanta,Serie A,2019-2020
25,26,Musa Barrow,"€ 8,846","€ 460,000","€ 468,619",F,20,The Gambia,Atalanta,Serie A,2019-2020
26,27,Roger Ibañez,"€ 6,154","€ 320,000","€ 325,996",D,20,Brazil,Atalanta,Serie A,2019-2020
27,28,Francesco Rossi,"€ 3,654","€ 190,000","€ 193,560",K,28,Italy,Atalanta,Serie A,2019-2020
