,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Iñigo Martínez,"€ 172,500","€ 8,970,000","€ 9,247,454",D,28,Spain,Athletic Club,La Liga,2019-2020
2,Raúl García,"€ 110,962","€ 5,770,000","€ 5,948,474",F,33,Spain,Athletic Club,La Liga,2019-2020
3,Yuri Berchiche,"€ 87,308","€ 4,540,000","€ 4,680,428",D,29,Spain,Athletic Club,La Liga,2019-2020
4,Iñaki Williams,"€ 65,577","€ 3,410,000","€ 3,515,476",F,25,Spain,Athletic Club,La Liga,2019-2020
5,Iker Muniain,"€ 42,115","€ 2,190,000","€ 2,257,740",F,26,Spain,Athletic Club,La Liga,2019-2020
6,Yeray Álvarez,"€ 40,962","€ 2,130,000","€ 2,195,884",D,24,Spain,Athletic Club,La Liga,2019-2020
7,Dani García,"€ 40,962","€ 2,130,000","€ 2,195,884",M,29,Spain,Athletic Club,La Liga,2019-2020
8,Ander Capa,"€ 38,462","€ 2,000,000","€ 2,061,863",D,27,Spain,Athletic Club,La Liga,2019-2020
9,Unai Núñez,"€ 35,577","€ 1,850,000","€ 1,907,223",D,22,Spain,Athletic Club,La Liga,2019-2020
10,Aritz Aduriz,"€ 30,769","€ 1,600,000","€ 1,649,490",F,38,Spain,Athletic Club,La Liga,2019-2020
11,Beñat Etxebarria,"€ 25,962","€ 1,350,000","€ 1,391,757",M,32,Spain,Athletic Club,La Liga,2019-2020
12,Iñigo Córdoba,"€ 25,962","€ 1,350,000","€ 1,391,757",F,22,Spain,Athletic Club,La Liga,2019-2020
13,Óscar de Marcos,"€ 25,962","€ 1,350,000","€ 1,391,757",D,30,Spain,Athletic Club,La Liga,2019-2020
14,Unai Simón,"€ 25,962","€ 1,350,000","€ 1,391,757",K,22,Spain,Athletic Club,La Liga,2019-2020
15,Iago Herrerín,"€ 23,269","€ 1,210,000","€ 1,247,427",K,31,Spain,Athletic Club,La Liga,2019-2020
16,Ibai Gómez,"€ 21,923","€ 1,140,000","€ 1,175,262",F,29,Spain,Athletic Club,La Liga,2019-2020
17,Mikel San José,"€ 19,231","€ 1,000,000","€ 1,030,931",M,30,Spain,Athletic Club,La Liga,2019-2020
18,Unai López,"€ 19,038","€ 990,000","€ 1,020,622",F,23,Spain,Athletic Club,La Liga,2019-2020
19,Mikel Balenziaga,"€ 17,692","€ 920,000","€ 948,457",D,31,Spain,Athletic Club,La Liga,2019-2020
20,Kenan Kodro,"€ 16,346","€ 850,000","€ 876,292",F,26,Bosnia-Herzegovina,Athletic Club,La Liga,2019-2020
21,Iñigo Lekue,"€ 13,654","€ 710,000","€ 731,961",D,26,Spain,Athletic Club,La Liga,2019-2020
22,Mikel Vesga,"€ 11,538","€ 600,000","€ 618,559",M,26,Spain,Athletic Club,La Liga,2019-2020
23,Asier Villalibre,"€ 10,000","€ 520,000","€ 536,084",F,21,Spain,Athletic Club,La Liga,2019-2020
24,Cristian Ganea,"€ 7,885","€ 410,000","€ 422,682",D,27,Romania,Athletic Club,La Liga,2019-2020
25,Gaizka Larrazabal,"€ 7,115","€ 370,000","€ 381,445",F,21,Spain,Athletic Club,La Liga,2019-2020
26,Oihan Sancet,"€ 3,846","€ 200,000","€ 206,186",M,19,Spain,Athletic Club,La Liga,2019-2020
