,Unnamed: 0,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
0,1,Arne Maier,"€ 26,923","€ 1,400,000","€ 1,400,000",M,21,Germany,Arminia Bielefeld,Bundesliga,2020-2021
1,2,Michel Vlap,"€ 19,231","€ 1,000,000","€ 1,000,000",F,23,Netherlands,Arminia Bielefeld,Bundesliga,2020-2021
2,3,Mike van der Hoorn,"€ 14,231","€ 740,000","€ 740,000",D,28,Netherlands,Arminia Bielefeld,Bundesliga,2020-2021
3,4,Joakim Nilsson,"€ 8,846","€ 460,000","€ 460,000",D,26,Sweden,Arminia Bielefeld,Bundesliga,2020-2021
4,5,Marcel Hartel,"€ 8,269","€ 430,000","€ 430,000",F,24,Germany,Arminia Bielefeld,Bundesliga,2020-2021
5,6,Cédric Brunner,"€ 7,500","€ 390,000","€ 390,000",D,26,Switzerland,Arminia Bielefeld,Bundesliga,2020-2021
6,7,Reinhold Yabo,"€ 7,500","€ 390,000","€ 390,000",M,28,Germany,Arminia Bielefeld,Bundesliga,2020-2021
7,8,Ritsu Doan,"€ 7,308","€ 380,000","€ 380,000",F,22,Japan,Arminia Bielefeld,Bundesliga,2020-2021
8,9,Fabian Klos,"€ 7,115","€ 370,000","€ 370,000",F,32,Germany,Arminia Bielefeld,Bundesliga,2020-2021
9,10,Jóan Símun Edmundsson,"€ 6,346","€ 330,000","€ 330,000",F,29,Faroe Islands,Arminia Bielefeld,Bundesliga,2020-2021
10,11,Sven Schipplock,"€ 5,962","€ 310,000","€ 310,000",F,31,Germany,Arminia Bielefeld,Bundesliga,2020-2021
11,12,Manuel Prietl,"€ 5,769","€ 300,000","€ 300,000",M,29,Austria,Arminia Bielefeld,Bundesliga,2020-2021
12,13,Oscar Linnér,"€ 5,769","€ 300,000","€ 300,000",K,23,Sweden,Arminia Bielefeld,Bundesliga,2020-2021
13,14,Stefan Ortega Moreno,"€ 5,769","€ 300,000","€ 300,000",K,27,Germany,Arminia Bielefeld,Bundesliga,2020-2021
14,15,Jacob Barrett Laursen,"€ 5,385","€ 280,000","€ 280,000",D,25,Denmark,Arminia Bielefeld,Bundesliga,2020-2021
15,16,Christian Gebauer,"€ 4,808","€ 250,000","€ 250,000",F,26,Austria,Arminia Bielefeld,Bundesliga,2020-2021
16,17,Nils Seufert,"€ 4,615","€ 240,000","€ 240,000",M,23,Germany,Arminia Bielefeld,Bundesliga,2020-2021
17,18,Cebio Soukou,"€ 4,615","€ 240,000","€ 240,000",F,28,Benin,Arminia Bielefeld,Bundesliga,2020-2021
18,19,Brian Behrendt,"€ 4,423","€ 230,000","€ 230,000",D,28,Germany,Arminia Bielefeld,Bundesliga,2020-2021
19,20,Nathan de Medina,"€ 4,038","€ 210,000","€ 210,000",D,23,Belgium,Arminia Bielefeld,Bundesliga,2020-2021
20,21,Sergio Córdova,"€ 3,846","€ 200,000","€ 200,000",F,23,Venezuela,Arminia Bielefeld,Bundesliga,2020-2021
21,22,Masaya Okugawa,"€ 3,462","€ 180,000","€ 180,000",M,24,Japan,Arminia Bielefeld,Bundesliga,2020-2021
22,23,Andreas Voglsammer,"€ 3,077","€ 160,000","€ 160,000",F,28,Germany,Arminia Bielefeld,Bundesliga,2020-2021
23,24,Jomaine Consbruch,"€ 2,308","€ 120,000","€ 120,000",M,18,Germany,Arminia Bielefeld,Bundesliga,2020-2021
24,25,Anderson Lucoqui,"€ 1,923","€ 100,000","€ 100,000",D,23,Angola,Arminia Bielefeld,Bundesliga,2020-2021
25,26,Amos Pieper,"€ 1,538","€ 80,000","€ 80,000",D,22,Germany,Arminia Bielefeld,Bundesliga,2020-2021
26,27,Nikolai Rehnen,€ 962,"€ 50,000","€ 50,000",K,23,Germany,Arminia Bielefeld,Bundesliga,2020-2021
27,28,Fabian Kunze,€ 962,"€ 50,000","€ 50,000",M,22,Germany,Arminia Bielefeld,Bundesliga,2020-2021
28,29,Noel Niemann,€ 769,"€ 40,000","€ 40,000",F,20,Germany,Arminia Bielefeld,Bundesliga,2020-2021
29,30,Sebastian Müller,€ 577,"€ 30,000","€ 30,000",F,19,Germany,Arminia Bielefeld,Bundesliga,2020-2021
30,31,Julian Frommann,€ 577,"€ 30,000","€ 30,000",M,17,Germany,Arminia Bielefeld,Bundesliga,2020-2021
0,1,Daniel Caligiuri,"€ 40,385","€ 2,100,000","€ 2,100,000",M,32,Italy,Augsburg,Bundesliga,2020-2021
1,2,André Hahn,"€ 30,769","€ 1,600,000","€ 1,600,000",F,30,Germany,Augsburg,Bundesliga,2020-2021
2,3,Carlos Gruezo,"€ 30,769","€ 1,600,000","€ 1,600,000",M,25,Ecuador,Augsburg,Bundesliga,2020-2021
3,4,Florian Niederlechner,"€ 28,846","€ 1,500,000","€ 1,500,000",F,29,Germany,Augsburg,Bundesliga,2020-2021
4,5,Jeffrey Gouweleeuw,"€ 28,846","€ 1,500,000","€ 1,500,000",D,29,Netherlands,Augsburg,Bundesliga,2020-2021
5,6,Iago,"€ 23,077","€ 1,200,000","€ 1,200,000",D,23,Brazil,Augsburg,Bundesliga,2020-2021
6,7,Alfred Finnbogason,"€ 21,154","€ 1,100,000","€ 1,100,000",F,31,Iceland,Augsburg,Bundesliga,2020-2021
7,8,Lászlo Bénes,"€ 21,154","€ 1,100,000","€ 1,100,000",M,23,Slovakia,Augsburg,Bundesliga,2020-2021
8,9,Tomas Koubek,"€ 19,231","€ 1,000,000","€ 1,000,000",K,28,Czech Republic,Augsburg,Bundesliga,2020-2021
9,10,Tobias Strobl,"€ 19,231","€ 1,000,000","€ 1,000,000",M,30,Germany,Augsburg,Bundesliga,2020-2021
10,11,Michael Gregoritsch,"€ 19,231","€ 1,000,000","€ 1,000,000",F,26,Austria,Augsburg,Bundesliga,2020-2021
11,12,Marek Suchy,"€ 16,538","€ 860,000","€ 860,000",D,32,Czech Republic,Augsburg,Bundesliga,2020-2021
12,13,Felix Uduokhai,"€ 15,385","€ 800,000","€ 800,000",D,23,Germany,Augsburg,Bundesliga,2020-2021
13,14,Reece Oxford,"€ 14,808","€ 770,000","€ 770,000",M,21,England,Augsburg,Bundesliga,2020-2021
14,15,Julian Schieber,"€ 11,154","€ 580,000","€ 580,000",F,31,Germany,Augsburg,Bundesliga,2020-2021
15,16,Raphael Framberger,"€ 10,962","€ 570,000","€ 570,000",D,25,Germany,Augsburg,Bundesliga,2020-2021
16,17,Ruben Vargas,"€ 10,577","€ 550,000","€ 550,000",F,22,Switzerland,Augsburg,Bundesliga,2020-2021
17,18,Rafal Gikiewicz,"€ 10,385","€ 540,000","€ 540,000",K,32,Poland,Augsburg,Bundesliga,2020-2021
18,19,Jan Morávek,"€ 10,192","€ 530,000","€ 530,000",M,30,Czech Republic,Augsburg,Bundesliga,2020-2021
19,20,Rani Khedira,"€ 10,000","€ 520,000","€ 520,000",M,26,Germany,Augsburg,Bundesliga,2020-2021
20,21,Noah Sarenren Bazee,"€ 9,808","€ 510,000","€ 510,000",F,24,Nigeria,Augsburg,Bundesliga,2020-2021
