,Unnamed: 0,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
0,1,Gaël Kakuta,"€ 75,942","€ 3,949,000","€ 4,077,677",F,26,Democratic Republic of Congo,Amiens,Ligue 1,2017-2018
1,2,Lacina Traoré,"€ 35,173","€ 1,829,000","€ 1,888,598",F,27,Cote d'Ivoire,Amiens,Ligue 1,2017-2018
2,3,Serge Gakpé,"€ 17,635","€ 917,000","€ 946,880",F,30,Togo,Amiens,Ligue 1,2017-2018
3,4,Danilo Avelar,"€ 14,115","€ 734,000","€ 757,917",D,28,Brazil,Amiens,Ligue 1,2017-2018
4,5,Moussa Konaté,"€ 9,115","€ 474,000","€ 489,445",F,24,Senegal,Amiens,Ligue 1,2017-2018
5,6,Jean-Luc Dompé,"€ 8,904","€ 463,000","€ 478,087",F,21,France,Amiens,Ligue 1,2017-2018
6,7,Guessouma Fofana,"€ 8,885","€ 462,000","€ 477,054",M,24,France,Amiens,Ligue 1,2017-2018
7,8,Bakaye Dibassy,"€ 7,962","€ 414,000","€ 427,490",D,27,Mali,Amiens,Ligue 1,2017-2018
8,9,Stiven Mendoza,"€ 6,904","€ 359,000","€ 370,698",F,25,Colombia,Amiens,Ligue 1,2017-2018
9,10,Issa Cissokho,"€ 6,404","€ 333,000","€ 343,851",D,32,Senegal,Amiens,Ligue 1,2017-2018
10,11,Bongani Zungu,"€ 5,692","€ 296,000","€ 305,645",M,24,South Africa,Amiens,Ligue 1,2017-2018
11,12,Mathieu Bodmer,"€ 4,558","€ 237,000","€ 244,723",M,34,France,Amiens,Ligue 1,2017-2018
12,13,Thomas Monconduit,"€ 4,558","€ 237,000","€ 244,723",M,26,France,Amiens,Ligue 1,2017-2018
13,14,Guy N'Gosso,"€ 4,385","€ 228,000","€ 235,429",M,32,Cameroon,Amiens,Ligue 1,2017-2018
14,15,Quentin Cornette,"€ 4,250","€ 221,000","€ 228,201",F,23,France,Amiens,Ligue 1,2017-2018
15,16,Régis Gurtner,"€ 4,096","€ 213,000","€ 219,941",K,30,France,Amiens,Ligue 1,2017-2018
16,17,Oualid El Hajjam,"€ 4,096","€ 213,000","€ 219,941",D,26,Morocco,Amiens,Ligue 1,2017-2018
17,18,Khaled Adénon,"€ 2,731","€ 142,000","€ 146,627",D,31,Benin,Amiens,Ligue 1,2017-2018
18,19,Charly Charrier,"€ 2,731","€ 142,000","€ 146,627",M,31,France,Amiens,Ligue 1,2017-2018
19,20,Jean-Christophe Bouet,"€ 2,731","€ 142,000","€ 146,627",K,33,France,Amiens,Ligue 1,2017-2018
20,21,Georges Gope-Fenepej,"€ 2,481","€ 129,000","€ 133,203",M,28,Neukaledonien,Amiens,Ligue 1,2017-2018
21,22,Emmanuel Bourgaud,"€ 1,596","€ 83,000","€ 85,705",M,29,France,Amiens,Ligue 1,2017-2018
22,23,Julien Ielsch,"€ 1,596","€ 83,000","€ 85,705",D,34,France,Amiens,Ligue 1,2017-2018
23,24,Gauthier Banaziak,€ 577,"€ 30,000","€ 30,978",K,20,France,Amiens,Ligue 1,2017-2018
24,25,Prince Gouano,€ 0,€ 0,€ 0,D,23,France,Amiens,Ligue 1,2017-2018
25,26,Harrison Manzala,€ 0,€ 0,€ 0,M,23,Democratic Republic of Congo,Amiens,Ligue 1,2017-2018
26,27,Raphaël Adiceam,€ 0,€ 0,€ 0,K,26,France,Amiens,Ligue 1,2017-2018
27,28,Sekou Baradji,€ 0,€ 0,€ 0,M,33,France,Amiens,Ligue 1,2017-2018
28,29,Tanguy Ndombélé,€ 0,€ 0,€ 0,M,20,France,Amiens,Ligue 1,2017-2018
29,30,Matheus Cassini,€ 0,€ 0,€ 0,M,21,Brazil,Amiens,Ligue 1,2017-2018
30,31,Brighton Labeau,€ 0,€ 0,€ 0,F,21,France,Amiens,Ligue 1,2017-2018
31,32,Madih Talal,€ 0,€ 0,€ 0,M,19,France,Amiens,Ligue 1,2017-2018
32,33,Bachibou Koita,€ 0,€ 0,€ 0,F,23,Niger,Amiens,Ligue 1,2017-2018
33,34,Nathan,€ 0,€ 0,€ 0,F,21,Brazil,Amiens,Ligue 1,2017-2018
0,1,Karl Toko Ekambi,"€ 12,538","€ 652,000","€ 673,245",F,24,Cameroon,Angers,Ligue 1,2017-2018
1,2,Ludovic Butelle,"€ 12,538","€ 652,000","€ 673,245",K,34,France,Angers,Ligue 1,2017-2018
2,3,Thomas Mangani,"€ 12,538","€ 652,000","€ 673,245",M,30,France,Angers,Ligue 1,2017-2018
3,4,Enzo Crivelli,"€ 12,538","€ 652,000","€ 673,245",F,22,France,Angers,Ligue 1,2017-2018
4,5,Romain Thomas,"€ 12,538","€ 652,000","€ 673,245",D,29,France,Angers,Ligue 1,2017-2018
5,6,Prince Oniangué,"€ 11,115","€ 578,000","€ 596,834",M,28,Congo,Angers,Ligue 1,2017-2018
6,7,Baptiste Guillaume,"€ 9,500","€ 494,000","€ 510,097",F,22,Belgium,Angers,Ligue 1,2017-2018
7,8,Angelo Fulgini,"€ 9,115","€ 474,000","€ 489,445",M,20,France,Angers,Ligue 1,2017-2018
8,9,Ismaël Traoré,"€ 9,115","€ 474,000","€ 489,445",D,30,Cote d'Ivoire,Angers,Ligue 1,2017-2018
9,10,Vincent Manceau,"€ 9,115","€ 474,000","€ 489,445",D,27,France,Angers,Ligue 1,2017-2018
10,11,Thomas Touré,"€ 8,865","€ 461,000","€ 476,022",F,23,Cote d'Ivoire,Angers,Ligue 1,2017-2018
11,12,Loïc Puyo,"€ 8,788","€ 457,000","€ 471,891",M,28,France,Angers,Ligue 1,2017-2018
12,13,Mathieu Michel,"€ 8,712","€ 453,000","€ 467,761",K,25,France,Angers,Ligue 1,2017-2018
13,14,Flavien Tait,"€ 7,981","€ 415,000","€ 428,523",F,24,France,Angers,Ligue 1,2017-2018
14,15,Mateo Pavlovic,"€ 7,635","€ 397,000","€ 409,936",D,27,Croatia,Angers,Ligue 1,2017-2018
15,16,Gilles Sunu,"€ 7,577","€ 394,000","€ 406,838",F,26,Togo,Angers,Ligue 1,2017-2018
16,17,Yoann Andreu,"€ 7,577","€ 394,000","€ 406,838",D,28,France,Angers,Ligue 1,2017-2018
17,18,Pierrick Capelle,"€ 7,500","€ 390,000","€ 402,708",M,30,France,Angers,Ligue 1,2017-2018
18,19,Abdoulaye Bamba,"€ 7,404","€ 385,000","€ 397,545",D,27,Cote d'Ivoire,Angers,Ligue 1,2017-2018
19,20,Lassana Coulibaly,"€ 5,596","€ 291,000","€ 300,482",M,21,Mali,Angers,Ligue 1,2017-2018
20,21,Wilfried Kanga,"€ 3,077","€ 160,000","€ 165,214",F,19,France,Angers,Ligue 1,2017-2018
