,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,David de Gea,"£ 375,000","£ 19,500,000","£ 19,991,082",K,29,Spain,Manchester United,Premier League,2019-2020
2,Paul Pogba,"£ 290,000","£ 15,080,000","£ 15,459,770",M,26,France,Manchester United,Premier League,2019-2020
3,Anthony Martial,"£ 250,000","£ 13,000,000","£ 13,327,388",F,24,France,Manchester United,Premier League,2019-2020
4,Marcus Rashford,"£ 200,000","£ 10,400,000","£ 10,661,911",F,22,England,Manchester United,Premier League,2019-2020
5,Harry Maguire,"£ 190,000","£ 9,880,000","£ 10,128,815",D,26,England,Manchester United,Premier League,2019-2020
6,Bruno Fernandes,"£ 180,000","£ 9,360,000","£ 9,595,720",F,25,Portugal,Manchester United,Premier League,2019-2020
7,Juan Mata,"£ 160,000","£ 8,320,000","£ 8,529,528",F,31,Spain,Manchester United,Premier League,2019-2020
8,Luke Shaw,"£ 150,000","£ 7,800,000","£ 7,996,433",D,24,England,Manchester United,Premier League,2019-2020
9,Victor Lindelöf,"£ 120,000","£ 6,240,000","£ 6,397,146",D,25,Sweden,Manchester United,Premier League,2019-2020
10,Ashley Young,"£ 120,000","£ 6,240,000","£ 6,397,146",D,34,England,Manchester United,Premier League,2019-2020
11,Fred,"£ 120,000","£ 6,240,000","£ 6,397,146",M,26,Brazil,Manchester United,Premier League,2019-2020
12,Nemanja Matic,"£ 120,000","£ 6,240,000","£ 6,397,146",M,31,Serbia,Manchester United,Premier League,2019-2020
13,Marcos Rojo,"£ 110,000","£ 5,720,000","£ 5,864,051",D,29,Argentina,Manchester United,Premier League,2019-2020
14,Odion Ighalo,"£ 99,038","£ 5,150,000","£ 5,279,696",F,30,Nigeria,Manchester United,Premier League,2019-2020
15,Aaron Wan-Bissaka,"£ 90,000","£ 4,680,000","£ 4,797,860",D,22,England,Manchester United,Premier League,2019-2020
16,Eric Bailly,"£ 80,000","£ 4,160,000","£ 4,264,764",D,25,Cote d'Ivoire,Manchester United,Premier League,2019-2020
17,Jesse Lingard,"£ 75,000","£ 3,900,000","£ 3,998,216",F,27,England,Manchester United,Premier League,2019-2020
18,Phil Jones,"£ 75,000","£ 3,900,000","£ 3,998,216",D,27,England,Manchester United,Premier League,2019-2020
19,Sergio Romero,"£ 70,000","£ 3,640,000","£ 3,731,669",K,32,Argentina,Manchester United,Premier League,2019-2020
20,Brandon Williams,"£ 65,000","£ 3,380,000","£ 3,465,121",D,19,England,Manchester United,Premier League,2019-2020
21,Daniel James,"£ 45,000","£ 2,340,000","£ 2,398,930",F,22,Wales,Manchester United,Premier League,2019-2020
22,Axel Tuanzebe,"£ 30,000","£ 1,560,000","£ 1,599,287",D,22,England,Manchester United,Premier League,2019-2020
23,Andreas Pereira,"£ 30,000","£ 1,560,000","£ 1,599,287",F,24,Brazil,Manchester United,Premier League,2019-2020
24,Lee Grant,"£ 30,000","£ 1,560,000","£ 1,599,287",K,37,England,Manchester United,Premier League,2019-2020
25,Mason Greenwood,"£ 27,500","£ 1,430,000","£ 1,466,013",F,18,England,Manchester United,Premier League,2019-2020
26,Diogo Dalot,"£ 25,000","£ 1,300,000","£ 1,332,739",D,20,Portugal,Manchester United,Premier League,2019-2020
27,Scott McTominay,"£ 20,000","£ 1,040,000","£ 1,066,191",M,23,Scotland,Manchester United,Premier League,2019-2020
28,Timothy Fosu-Mensah,"£ 15,000","£ 780,000","£ 799,643",D,22,Netherlands,Manchester United,Premier League,2019-2020
