,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,João Moutinho,"£ 100,000","£ 5,200,000","£ 5,330,955",M,33,Portugal,Wolverhampton,Premier League,2019-2020
2,Rui Patrício,"£ 100,000","£ 5,200,000","£ 5,330,955",K,31,Portugal,Wolverhampton,Premier League,2019-2020
3,Leander Dendoncker,"£ 75,000","£ 3,900,000","£ 3,998,216",M,24,Belgium,Wolverhampton,Premier League,2019-2020
4,Patrick Cutrone,"£ 62,885","£ 3,270,000","£ 3,352,351",F,21,Italy,Wolverhampton,Premier League,2019-2020
5,Daniel Podence,"£ 60,000","£ 3,120,000","£ 3,198,573",F,24,Portugal,Wolverhampton,Premier League,2019-2020
6,Adama Traoré,"£ 55,000","£ 2,860,000","£ 2,932,025",F,24,Spain,Wolverhampton,Premier League,2019-2020
7,Conor Coady,"£ 55,000","£ 2,860,000","£ 2,932,025",D,26,England,Wolverhampton,Premier League,2019-2020
8,Willy Boly,"£ 55,000","£ 2,860,000","£ 2,932,025",D,29,France,Wolverhampton,Premier League,2019-2020
9,Rúben Neves,"£ 50,000","£ 2,600,000","£ 2,665,478",M,22,Portugal,Wolverhampton,Premier League,2019-2020
10,Diogo Jota,"£ 45,000","£ 2,340,000","£ 2,398,930",F,23,Portugal,Wolverhampton,Premier League,2019-2020
11,Raúl Jiménez,"£ 40,000","£ 2,080,000","£ 2,132,382",F,28,Mexico,Wolverhampton,Premier League,2019-2020
12,Jesús Vallejo,"£ 33,077","£ 1,720,000","£ 1,763,316",D,22,Spain,Wolverhampton,Premier League,2019-2020
13,John Ruddy,"£ 32,500","£ 1,690,000","£ 1,732,560",K,33,England,Wolverhampton,Premier League,2019-2020
14,Rúben Vinagre,"£ 30,000","£ 1,560,000","£ 1,599,287",D,20,Portugal,Wolverhampton,Premier League,2019-2020
15,Jonny Otto,"£ 25,000","£ 1,300,000","£ 1,332,739",D,25,Spain,Wolverhampton,Premier League,2019-2020
16,Pedro Neto,"£ 25,000","£ 1,300,000","£ 1,332,739",F,19,Portugal,Wolverhampton,Premier League,2019-2020
17,Romain Saïss,"£ 21,923","£ 1,140,000","£ 1,168,709",M,29,Morocco,Wolverhampton,Premier League,2019-2020
18,Leonardo Campana,"£ 20,000","£ 1,040,000","£ 1,066,191",F,19,Ecuador,Wolverhampton,Premier League,2019-2020
19,Ryan Bennett,"£ 20,000","£ 1,040,000","£ 1,066,191",D,29,England,Wolverhampton,Premier League,2019-2020
20,Bruno Jordão,"£ 17,500","£ 910,000","£ 932,917",M,21,Portugal,Wolverhampton,Premier League,2019-2020
21,Matt Doherty,"£ 10,000","£ 520,000","£ 533,096",D,28,Ireland,Wolverhampton,Premier League,2019-2020
22,Phil Ofosu-Ayeh,"£ 7,500","£ 390,000","£ 399,822",D,28,Ghana,Wolverhampton,Premier League,2019-2020
23,Jordan Graham,"£ 5,962","£ 310,000","£ 317,807",F,24,England,Wolverhampton,Premier League,2019-2020
24,Renat Dadashov,"£ 5,000","£ 260,000","£ 266,548",F,20,Azerbaijan,Wolverhampton,Premier League,2019-2020
25,Harry Burgoyne,"£ 2,500","£ 130,000","£ 133,274",K,22,England,Wolverhampton,Premier League,2019-2020
26,Bright Enobakhare,"£ 2,500","£ 130,000","£ 133,274",F,21,Nigeria,Wolverhampton,Premier League,2019-2020
27,Max Kilman,"£ 2,000","£ 104,000","£ 106,619",D,22,England,Wolverhampton,Premier League,2019-2020
28,Morgan Gibbs-White,"£ 1,538","£ 80,000","£ 82,015",M,20,England,Wolverhampton,Premier League,2019-2020
29,Ming-Yang Yang,"£ 1,346","£ 70,000","£ 71,763",M,24,Switzerland,Wolverhampton,Premier League,2019-2020
30,Enzo Loiodice,£ 962,"£ 50,000","£ 51,259",M,19,France,Wolverhampton,Premier League,2019-2020
