,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Bernard,"£ 120,000","£ 6,240,000","£ 6,460,445",F,25,Brazil,Everton,Premier League,2018-2019
2,Yerry Mina,"£ 120,000","£ 6,240,000","£ 6,460,445",D,23,Colombia,Everton,Premier League,2018-2019
3,André Gomes,"£ 112,212","£ 5,835,000","£ 6,041,138",M,24,Portugal,Everton,Premier League,2018-2019
4,Jordan Pickford,"£ 100,000","£ 5,200,000","£ 5,383,704",K,24,England,Everton,Premier League,2018-2019
5,Theo Walcott,"£ 100,000","£ 5,200,000","£ 5,383,704",F,29,England,Everton,Premier League,2018-2019
6,Gylfi Sigurdsson,"£ 100,000","£ 5,200,000","£ 5,383,704",M,28,Iceland,Everton,Premier League,2018-2019
7,Morgan Schneiderlin,"£ 100,000","£ 5,200,000","£ 5,383,704",M,28,France,Everton,Premier League,2018-2019
8,Lucas Digne,"£ 90,000","£ 4,680,000","£ 4,845,334",D,24,France,Everton,Premier League,2018-2019
9,Richarlison,"£ 90,000","£ 4,680,000","£ 4,845,334",F,21,Brazil,Everton,Premier League,2018-2019
10,Idrissa Gueye,"£ 70,000","£ 3,640,000","£ 3,768,593",M,28,Senegal,Everton,Premier League,2018-2019
11,Seamus Coleman,"£ 70,000","£ 3,640,000","£ 3,768,593",D,29,Ireland,Everton,Premier League,2018-2019
12,Leighton Baines,"£ 65,000","£ 3,380,000","£ 3,499,408",D,33,England,Everton,Premier League,2018-2019
13,Michael Keane,"£ 60,000","£ 3,120,000","£ 3,230,223",D,25,England,Everton,Premier League,2018-2019
14,Cenk Tosun,"£ 60,000","£ 3,120,000","£ 3,230,223",F,27,Turkey,Everton,Premier League,2018-2019
15,Oumar Niasse,"£ 50,000","£ 2,600,000","£ 2,691,852",F,28,Senegal,Everton,Premier League,2018-2019
16,Phil Jagielka,"£ 50,000","£ 2,600,000","£ 2,691,852",D,35,England,Everton,Premier League,2018-2019
17,James McCarthy,"£ 50,000","£ 2,600,000","£ 2,691,852",M,27,Ireland,Everton,Premier League,2018-2019
18,Kurt Zouma,"£ 46,000","£ 2,392,000","£ 2,476,504",D,23,France,Everton,Premier League,2018-2019
19,Maarten Stekelenburg,"£ 30,000","£ 1,560,000","£ 1,615,111",K,35,Netherlands,Everton,Premier League,2018-2019
20,Tom Davies,"£ 25,000","£ 1,300,000","£ 1,345,926",M,20,England,Everton,Premier League,2018-2019
21,Mason Holgate,"£ 25,000","£ 1,300,000","£ 1,345,926",D,21,England,Everton,Premier League,2018-2019
22,Ademola Lookman,"£ 23,000","£ 1,196,000","£ 1,238,252",F,20,England,Everton,Premier League,2018-2019
23,Brendan Galloway,"£ 22,500","£ 1,170,000","£ 1,211,333",D,22,England,Everton,Premier League,2018-2019
24,Dominic Calvert-Lewin,"£ 20,000","£ 1,040,000","£ 1,076,741",F,21,England,Everton,Premier League,2018-2019
25,Kieran Dowell,"£ 15,000","£ 780,000","£ 807,556",M,20,England,Everton,Premier League,2018-2019
26,Jonjoe Kenny,"£ 15,000","£ 780,000","£ 807,556",D,21,England,Everton,Premier League,2018-2019
27,Beni Baningime,"£ 8,000","£ 416,000","£ 430,696",M,19,Democratic Republic of the Congo,Everton,Premier League,2018-2019
28,Tyias Browning,"£ 7,500","£ 390,000","£ 403,778",D,24,England,Everton,Premier League,2018-2019
29,João Virgínia,"£ 4,000","£ 208,000","£ 215,348",K,18,Portugal,Everton,Premier League,2018-2019
30,Matthew Pennington,£ 0,£ 0,£ 0,D,23,England,Everton,Premier League,2018-2019
31,Henry Onyekuru,£ 0,£ 0,£ 0,F,21,Nigeria,Everton,Premier League,2018-2019
32,Kevin Mirallas,£ 0,£ 0,£ 0,F,30,Belgium,Everton,Premier League,2018-2019
33,Luke Garbutt,£ 0,£ 0,£ 0,D,25,England,Everton,Premier League,2018-2019
34,Cuco Martina,£ 0,£ 0,£ 0,D,28,Curacao,Everton,Premier League,2018-2019
35,Muhamed Besic,£ 0,£ 0,£ 0,M,25,Bosnia-Herzegovina,Everton,Premier League,2018-2019
36,Nikola Vlasic,£ 0,£ 0,£ 0,M,20,Croatia,Everton,Premier League,2018-2019
37,Ashley Williams,£ 0,£ 0,£ 0,D,33,Wales,Everton,Premier League,2018-2019
38,Sandro Ramírez,£ 0,£ 0,£ 0,F,22,Spain,Everton,Premier League,2018-2019
39,Shani Tarashaj,£ 0,£ 0,£ 0,F,23,Switzerland,Everton,Premier League,2018-2019
40,Yannick Bolasie,£ 0,£ 0,£ 0,F,29,Democratic Republic of the Congo,Everton,Premier League,2018-2019
