,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Wilfried Zaha,"£ 130,000","£ 6,760,000","£ 6,998,816",F,25,Cote d'Ivoire,Crystal Palace,Premier League,2018-2019
2,Max Meyer,"£ 125,000","£ 6,500,000","£ 6,729,630",M,22,Germany,Crystal Palace,Premier League,2018-2019
3,Christian Benteke,"£ 120,000","£ 6,240,000","£ 6,460,445",F,27,Belgium,Crystal Palace,Premier League,2018-2019
4,Mamadou Sakho,"£ 100,000","£ 5,200,000","£ 5,383,704",D,28,France,Crystal Palace,Premier League,2018-2019
5,Cheikhou Kouyaté,"£ 65,000","£ 3,380,000","£ 3,499,408",M,28,Senegal,Crystal Palace,Premier League,2018-2019
6,Scott Dann,"£ 60,000","£ 3,120,000","£ 3,230,223",D,31,England,Crystal Palace,Premier League,2018-2019
7,Connor Wickham,"£ 60,000","£ 3,120,000","£ 3,230,223",F,25,England,Crystal Palace,Premier League,2018-2019
8,Vicente Guaita,"£ 60,000","£ 3,120,000","£ 3,230,223",K,31,Spain,Crystal Palace,Premier League,2018-2019
9,Andros Townsend,"£ 55,000","£ 2,860,000","£ 2,961,037",F,26,England,Crystal Palace,Premier League,2018-2019
10,James McArthur,"£ 55,000","£ 2,860,000","£ 2,961,037",M,30,Scotland,Crystal Palace,Premier League,2018-2019
11,Patrick van Aanholt,"£ 55,000","£ 2,860,000","£ 2,961,037",D,27,Netherlands,Crystal Palace,Premier League,2018-2019
12,Luka Milivojevic,"£ 55,000","£ 2,860,000","£ 2,961,037",M,27,Serbia,Crystal Palace,Premier League,2018-2019
13,Jeffrey Schlupp,"£ 50,000","£ 2,600,000","£ 2,691,852",M,25,Ghana,Crystal Palace,Premier League,2018-2019
14,James Tomkins,"£ 50,000","£ 2,600,000","£ 2,691,852",D,29,England,Crystal Palace,Premier League,2018-2019
15,Jairo Riedewald,"£ 40,000","£ 2,080,000","£ 2,153,482",D,21,Netherlands,Crystal Palace,Premier League,2018-2019
16,Wayne Hennessey,"£ 40,000","£ 2,080,000","£ 2,153,482",K,31,Wales,Crystal Palace,Premier League,2018-2019
17,Jordan Ayew,"£ 35,000","£ 1,820,000","£ 1,884,297",F,26,Ghana,Crystal Palace,Premier League,2018-2019
18,Jason Puncheon,"£ 35,000","£ 1,820,000","£ 1,884,297",M,32,England,Crystal Palace,Premier League,2018-2019
19,Joel Ward,"£ 35,000","£ 1,820,000","£ 1,884,297",D,28,England,Crystal Palace,Premier League,2018-2019
20,Michy Batshuayi,"£ 35,000","£ 1,820,000","£ 1,884,297",F,24,Belgium,Crystal Palace,Premier League,2018-2019
21,Pape Souaré,"£ 30,000","£ 1,560,000","£ 1,615,111",D,28,Senegal,Crystal Palace,Premier League,2018-2019
22,Julián Speroni,"£ 25,000","£ 1,300,000","£ 1,345,926",K,39,Argentina,Crystal Palace,Premier League,2018-2019
23,Martin Kelly,"£ 25,000","£ 1,300,000","£ 1,345,926",D,28,England,Crystal Palace,Premier League,2018-2019
24,Bakary Sako,"£ 21,000","£ 1,092,000","£ 1,130,578",F,30,Mali,Crystal Palace,Premier League,2018-2019
25,Alexander Sörloth,"£ 20,000","£ 1,040,000","£ 1,076,741",F,22,Norway,Crystal Palace,Premier League,2018-2019
26,Aaron Wan-Bissaka,"£ 15,000","£ 780,000","£ 807,556",D,20,England,Crystal Palace,Premier League,2018-2019
27,Jonathan Williams,"£ 15,000","£ 780,000","£ 807,556",M,24,Wales,Crystal Palace,Premier League,2018-2019
28,Sullay Kaikai,"£ 2,500","£ 130,000","£ 134,593",F,22,England,Crystal Palace,Premier League,2018-2019
29,Ryan Inniss,"£ 1,500","£ 78,000","£ 80,756",D,23,England,Crystal Palace,Premier League,2018-2019
30,Sam Woods,"£ 1,000","£ 52,000","£ 53,837",D,19,England,Crystal Palace,Premier League,2018-2019
31,Luke Dreher,£ 808,"£ 42,000","£ 43,484",M,19,England,Crystal Palace,Premier League,2018-2019
32,Giovanni McGregor,£ 750,"£ 39,000","£ 40,378",M,19,England,Crystal Palace,Premier League,2018-2019
33,Joe Tupper,£ 500,"£ 26,000","£ 26,919",K,20,England,Crystal Palace,Premier League,2018-2019
34,Nya Kirby,£ 0,£ 0,£ 0,M,18,England,Crystal Palace,Premier League,2018-2019
35,Dion Henry,£ 0,£ 0,£ 0,K,20,England,Crystal Palace,Premier League,2018-2019
36,Jason Lokilo,£ 0,£ 0,£ 0,F,19,Belgium,Crystal Palace,Premier League,2018-2019
