,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Asmir Begovic,"£ 70,000","£ 3,640,000","£ 3,834,095",K,30,Bosnia-Herzegovina,Bournemouth,Premier League,2017-2018
2,Jermain Defoe,"£ 65,000","£ 3,380,000","£ 3,560,231",F,34,England,Bournemouth,Premier League,2017-2018
3,Joshua King,"£ 45,000","£ 2,340,000","£ 2,464,775",F,25,Norway,Bournemouth,Premier League,2017-2018
4,Artur Boruc,"£ 40,000","£ 2,080,000","£ 2,190,912",K,37,Poland,Bournemouth,Premier League,2017-2018
5,Steve Cook,"£ 40,000","£ 2,080,000","£ 2,190,912",D,26,England,Bournemouth,Premier League,2017-2018
6,Nathan Aké,"£ 40,000","£ 2,080,000","£ 2,190,912",D,22,Netherlands,Bournemouth,Premier League,2017-2018
7,Harry Arter,"£ 40,000","£ 2,080,000","£ 2,190,912",M,27,Ireland,Bournemouth,Premier League,2017-2018
8,Jordon Ibe,"£ 37,500","£ 1,950,000","£ 2,053,980",F,21,England,Bournemouth,Premier League,2017-2018
9,Adam Smith,"£ 35,000","£ 1,820,000","£ 1,917,048",D,26,England,Bournemouth,Premier League,2017-2018
10,Dan Gosling,"£ 35,000","£ 1,820,000","£ 1,917,048",M,27,England,Bournemouth,Premier League,2017-2018
11,Charlie Daniels,"£ 35,000","£ 1,820,000","£ 1,917,048",D,30,England,Bournemouth,Premier League,2017-2018
12,Andrew Surman,"£ 35,000","£ 1,820,000","£ 1,917,048",M,30,England,Bournemouth,Premier League,2017-2018
13,Callum Wilson,"£ 30,000","£ 1,560,000","£ 1,643,184",F,25,England,Bournemouth,Premier League,2017-2018
14,Adam Federici,"£ 30,000","£ 1,560,000","£ 1,643,184",K,32,Australia,Bournemouth,Premier League,2017-2018
15,Simon Francis,"£ 30,000","£ 1,560,000","£ 1,643,184",D,32,England,Bournemouth,Premier League,2017-2018
16,Ryan Fraser,"£ 27,000","£ 1,404,000","£ 1,478,865",F,23,Scotland,Bournemouth,Premier League,2017-2018
17,Marc Pugh,"£ 25,000","£ 1,300,000","£ 1,369,320",F,30,England,Bournemouth,Premier League,2017-2018
18,Junior Stanislas,"£ 25,000","£ 1,300,000","£ 1,369,320",F,27,England,Bournemouth,Premier League,2017-2018
19,Brad Smith,"£ 25,000","£ 1,300,000","£ 1,369,320",D,23,Australia,Bournemouth,Premier League,2017-2018
20,Tyrone Mings,"£ 23,000","£ 1,196,000","£ 1,259,774",D,24,England,Bournemouth,Premier League,2017-2018
21,Lys Mousset,"£ 20,000","£ 1,040,000","£ 1,095,456",F,21,France,Bournemouth,Premier League,2017-2018
22,Rhoys Wiggins,"£ 16,000","£ 832,000","£ 876,365",D,29,Wales,Bournemouth,Premier League,2017-2018
23,Lewis Cook,"£ 15,000","£ 780,000","£ 821,592",M,20,England,Bournemouth,Premier League,2017-2018
24,Emerson Hyndman,"£ 15,000","£ 780,000","£ 821,592",M,21,United States,Bournemouth,Premier League,2017-2018
25,Aaron Ramsdale,"£ 3,000","£ 156,000","£ 164,318",K,19,England,Bournemouth,Premier League,2017-2018
26,Jack Simpson,"£ 3,000","£ 156,000","£ 164,318",D,20,England,Bournemouth,Premier League,2017-2018
27,Matt Butcher,£ 596,"£ 31,000","£ 32,653",M,20,England,Bournemouth,Premier League,2017-2018
28,Mikael Ndjoli,£ 500,"£ 26,000","£ 27,386",F,18,England,Bournemouth,Premier League,2017-2018
29,Kyle Taylor,£ 500,"£ 26,000","£ 27,386",M,17,England,Bournemouth,Premier League,2017-2018
30,Ryan Allsop,£ 0,£ 0,£ 0,K,25,England,Bournemouth,Premier League,2017-2018
31,Connor Mahoney,£ 0,£ 0,£ 0,F,20,England,Bournemouth,Premier League,2017-2018
32,Shaun Hobson,£ 0,£ 0,£ 0,D,19,England,Bournemouth,Premier League,2017-2018
33,Benik Afobe,£ 0,£ 0,£ 0,F,24,Democratic Republic of Congo,Bournemouth,Premier League,2017-2018
34,Baily Cargill,£ 0,£ 0,£ 0,D,21,England,Bournemouth,Premier League,2017-2018
35,Lewis Grabban,£ 0,£ 0,£ 0,F,29,Jamaica,Bournemouth,Premier League,2017-2018
