,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Alexis Sánchez,"£ 350,000","£ 18,200,000","£ 19,170,476",F,28,Chile,Manchester United,Premier League,2017-2018
2,David de Gea,"£ 200,000","£ 10,400,000","£ 10,954,558",K,26,Spain,Manchester United,Premier League,2017-2018
3,Paul Pogba,"£ 200,000","£ 10,400,000","£ 10,954,558",M,24,France,Manchester United,Premier League,2017-2018
4,Henrikh Mkhitaryan,"£ 200,000","£ 10,400,000","£ 10,954,558",M,28,Armenia,Manchester United,Premier League,2017-2018
5,Romelu Lukaku,"£ 180,000","£ 9,360,000","£ 9,859,102",F,24,Belgium,Manchester United,Premier League,2017-2018
6,Juan Mata,"£ 160,000","£ 8,320,000","£ 8,763,646",M,29,Spain,Manchester United,Premier League,2017-2018
7,Wayne Rooney,"£ 160,000","£ 8,320,000","£ 8,763,646",F,31,England,Manchester United,Premier League,2017-2018
8,Zlatan Ibrahimovic,"£ 125,000","£ 6,500,000","£ 6,846,599",F,35,Sweden,Manchester United,Premier League,2017-2018
9,Nemanja Matic,"£ 120,000","£ 6,240,000","£ 6,572,735",M,28,Serbia,Manchester United,Premier League,2017-2018
10,Ashley Young,"£ 120,000","£ 6,240,000","£ 6,572,735",D,31,England,Manchester United,Premier League,2017-2018
11,Ander Herrera,"£ 115,000","£ 5,980,000","£ 6,298,871",M,27,Spain,Manchester United,Premier League,2017-2018
12,Anthony Martial,"£ 110,000","£ 5,720,000","£ 6,025,007",F,21,France,Manchester United,Premier League,2017-2018
13,Luke Shaw,"£ 110,000","£ 5,720,000","£ 6,025,007",D,21,England,Manchester United,Premier League,2017-2018
14,Marcos Rojo,"£ 110,000","£ 5,720,000","£ 6,025,007",D,27,Argentina,Manchester United,Premier League,2017-2018
15,Marouane Fellaini,"£ 90,000","£ 4,680,000","£ 4,929,551",M,29,Belgium,Manchester United,Premier League,2017-2018
16,Antonio Valencia,"£ 85,000","£ 4,420,000","£ 4,655,687",D,31,Ecuador,Manchester United,Premier League,2017-2018
17,Eric Bailly,"£ 80,000","£ 4,160,000","£ 4,381,823",D,23,Cote d'Ivoire,Manchester United,Premier League,2017-2018
18,Michael Carrick,"£ 80,000","£ 4,160,000","£ 4,381,823",M,35,England,Manchester United,Premier League,2017-2018
19,Victor Lindelöf,"£ 75,000","£ 3,900,000","£ 4,107,959",D,22,Sweden,Manchester United,Premier League,2017-2018
20,Daley Blind,"£ 75,000","£ 3,900,000","£ 4,107,959",D,27,Netherlands,Manchester United,Premier League,2017-2018
21,Jesse Lingard,"£ 75,000","£ 3,900,000","£ 4,107,959",F,24,England,Manchester United,Premier League,2017-2018
22,Sergio Romero,"£ 70,000","£ 3,640,000","£ 3,834,095",K,30,Argentina,Manchester United,Premier League,2017-2018
23,Chris Smalling,"£ 70,000","£ 3,640,000","£ 3,834,095",D,27,England,Manchester United,Premier League,2017-2018
24,Phil Jones,"£ 50,000","£ 2,600,000","£ 2,738,639",D,25,England,Manchester United,Premier League,2017-2018
25,Matteo Darmian,"£ 45,000","£ 2,340,000","£ 2,464,775",D,27,Italy,Manchester United,Premier League,2017-2018
26,Marcus Rashford,"£ 20,000","£ 1,040,000","£ 1,095,456",F,19,England,Manchester United,Premier League,2017-2018
27,Timothy Fosu-Mensah,"£ 15,000","£ 780,000","£ 821,592",D,19,Netherlands,Manchester United,Premier League,2017-2018
28,Joel Pereira,"£ 15,000","£ 780,000","£ 821,592",K,21,Portugal,Manchester United,Premier League,2017-2018
29,Axel Tuanzebe,"£ 10,000","£ 520,000","£ 547,728",D,19,England,Manchester United,Premier League,2017-2018
30,Scott McTominay,"£ 10,000","£ 520,000","£ 547,728",M,20,Scotland,Manchester United,Premier League,2017-2018
31,Cameron Borthwick-Jackson,"£ 10,000","£ 520,000","£ 547,728",D,20,England,Manchester United,Premier League,2017-2018
32,Ethan Hamilton,£ 500,"£ 26,000","£ 27,386",M,18,Scotland,Manchester United,Premier League,2017-2018
33,Angel Gomes,£ 96,"£ 5,000","£ 5,267",M,16,England,Manchester United,Premier League,2017-2018
34,James Wilson,£ 0,£ 0,£ 0,F,21,England,Manchester United,Premier League,2017-2018
35,Sam Johnstone,£ 0,£ 0,£ 0,K,24,England,Manchester United,Premier League,2017-2018
