,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,James Tarkowski,"£ 45,000","£ 2,340,000","£ 2,464,775",D,24,England,Burnley,Premier League,2017-2018
2,Tom Heaton,"£ 35,000","£ 1,820,000","£ 1,917,048",K,31,England,Burnley,Premier League,2017-2018
3,Chris Wood,"£ 35,000","£ 1,820,000","£ 1,917,048",F,25,New Zealand,Burnley,Premier League,2017-2018
4,Jack Cork,"£ 35,000","£ 1,820,000","£ 1,917,048",M,28,England,Burnley,Premier League,2017-2018
5,Jeff Hendrick,"£ 35,000","£ 1,820,000","£ 1,917,048",M,25,Ireland,Burnley,Premier League,2017-2018
6,Robbie Brady,"£ 35,000","£ 1,820,000","£ 1,917,048",M,25,Ireland,Burnley,Premier League,2017-2018
7,Steven Defour,"£ 35,000","£ 1,820,000","£ 1,917,048",M,29,Belgium,Burnley,Premier League,2017-2018
8,Aaron Lennon,"£ 35,000","£ 1,820,000","£ 1,917,048",F,30,England,Burnley,Premier League,2017-2018
9,Ashley Westwood,"£ 31,000","£ 1,612,000","£ 1,697,956",M,27,England,Burnley,Premier League,2017-2018
10,Jonathan Walters,"£ 30,000","£ 1,560,000","£ 1,643,184",F,33,Ireland,Burnley,Premier League,2017-2018
11,Phil Bardsley,"£ 30,000","£ 1,560,000","£ 1,643,184",D,32,Scotland,Burnley,Premier League,2017-2018
12,Stephen Ward,"£ 28,000","£ 1,456,000","£ 1,533,638",D,31,Ireland,Burnley,Premier League,2017-2018
13,Charlie Taylor,"£ 25,000","£ 1,300,000","£ 1,369,320",D,23,England,Burnley,Premier League,2017-2018
14,Ashley Barnes,"£ 25,000","£ 1,300,000","£ 1,369,320",F,27,England,Burnley,Premier League,2017-2018
15,Nahki Wells,"£ 25,000","£ 1,300,000","£ 1,369,320",F,27,Bermuda,Burnley,Premier League,2017-2018
16,Scott Arfield,"£ 23,000","£ 1,196,000","£ 1,259,774",M,28,Canada,Burnley,Premier League,2017-2018
17,Dean Marney,"£ 22,000","£ 1,144,000","£ 1,205,001",M,33,England,Burnley,Premier League,2017-2018
18,Ben Mee,"£ 20,000","£ 1,040,000","£ 1,095,456",D,27,England,Burnley,Premier League,2017-2018
19,Sam Vokes,"£ 17,000","£ 884,000","£ 931,137",F,27,Wales,Burnley,Premier League,2017-2018
20,Kevin Long,"£ 16,000","£ 832,000","£ 876,365",D,26,Ireland,Burnley,Premier League,2017-2018
21,Nick Pope,"£ 15,000","£ 780,000","£ 821,592",K,25,England,Burnley,Premier League,2017-2018
22,Anders Lindegaard,"£ 7,500","£ 390,000","£ 410,796",K,33,Denmark,Burnley,Premier League,2017-2018
23,Adam Legzdins,"£ 5,000","£ 260,000","£ 273,864",K,30,England,Burnley,Premier League,2017-2018
24,Aiden O'Neill,"£ 3,500","£ 182,000","£ 191,705",M,18,Australia,Burnley,Premier League,2017-2018
25,Dwight McNeil,"£ 1,000","£ 52,000","£ 54,773",F,17,England,Burnley,Premier League,2017-2018
26,Johann Berg Gudmundsson,£ 0,£ 0,£ 0,F,26,Iceland,Burnley,Premier League,2017-2018
27,Chris Long,£ 0,£ 0,£ 0,F,22,England,Burnley,Premier League,2017-2018
28,Georges-Kevin N'Koudou,£ 0,£ 0,£ 0,F,22,France,Burnley,Premier League,2017-2018
29,Fredrik Ulvestad,£ 0,£ 0,£ 0,M,25,Norway,Burnley,Premier League,2017-2018
30,Matthew Lowton,£ 0,£ 0,£ 0,D,28,England,Burnley,Premier League,2017-2018
