,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Christian Benteke,"£ 120,000","£ 6,240,000","£ 6,572,735",F,26,Belgium,Crystal Palace,Premier League,2017-2018
2,Mamadou Sakho,"£ 100,000","£ 5,200,000","£ 5,477,279",D,27,France,Crystal Palace,Premier League,2017-2018
3,Wilfried Zaha,"£ 100,000","£ 5,200,000","£ 5,477,279",F,24,Cote d'Ivoire,Crystal Palace,Premier League,2017-2018
4,Yohan Cabaye,"£ 85,500","£ 4,446,000","£ 4,683,073",M,31,France,Crystal Palace,Premier League,2017-2018
5,Connor Wickham,"£ 60,000","£ 3,120,000","£ 3,286,367",F,24,England,Crystal Palace,Premier League,2017-2018
6,Scott Dann,"£ 60,000","£ 3,120,000","£ 3,286,367",D,30,England,Crystal Palace,Premier League,2017-2018
7,Luka Milivojevic,"£ 55,000","£ 2,860,000","£ 3,012,503",M,26,Serbia,Crystal Palace,Premier League,2017-2018
8,Bakary Sako,"£ 55,000","£ 2,860,000","£ 3,012,503",F,29,Mali,Crystal Palace,Premier League,2017-2018
9,Patrick van Aanholt,"£ 55,000","£ 2,860,000","£ 3,012,503",D,26,Netherlands,Crystal Palace,Premier League,2017-2018
10,Andros Townsend,"£ 55,000","£ 2,860,000","£ 3,012,503",F,25,England,Crystal Palace,Premier League,2017-2018
11,James Tomkins,"£ 50,000","£ 2,600,000","£ 2,738,639",D,28,England,Crystal Palace,Premier League,2017-2018
12,Jeffrey Schlupp,"£ 50,000","£ 2,600,000","£ 2,738,639",M,24,Ghana,Crystal Palace,Premier League,2017-2018
13,James McArthur,"£ 40,000","£ 2,080,000","£ 2,190,912",M,29,Scotland,Crystal Palace,Premier League,2017-2018
14,Wayne Hennessey,"£ 40,000","£ 2,080,000","£ 2,190,912",K,30,Wales,Crystal Palace,Premier League,2017-2018
15,Jairo Riedewald,"£ 40,000","£ 2,080,000","£ 2,190,912",D,20,Netherlands,Crystal Palace,Premier League,2017-2018
16,Joel Ward,"£ 35,000","£ 1,820,000","£ 1,917,048",D,27,England,Crystal Palace,Premier League,2017-2018
17,Jason Puncheon,"£ 35,000","£ 1,820,000","£ 1,917,048",M,31,England,Crystal Palace,Premier League,2017-2018
18,Ruben Loftus-Cheek,"£ 35,000","£ 1,820,000","£ 1,917,048",M,21,England,Crystal Palace,Premier League,2017-2018
19,Pape Souaré,"£ 30,000","£ 1,560,000","£ 1,643,184",D,27,Senegal,Crystal Palace,Premier League,2017-2018
20,Jordon Mutch,"£ 28,000","£ 1,456,000","£ 1,533,638",M,25,England,Crystal Palace,Premier League,2017-2018
21,Martin Kelly,"£ 25,000","£ 1,300,000","£ 1,369,320",D,27,England,Crystal Palace,Premier League,2017-2018
22,Damien Delaney,"£ 25,000","£ 1,300,000","£ 1,369,320",D,35,Ireland,Crystal Palace,Premier League,2017-2018
23,Julián Speroni,"£ 25,000","£ 1,300,000","£ 1,369,320",K,38,Argentina,Crystal Palace,Premier League,2017-2018
24,Chung-yong Lee,"£ 25,000","£ 1,300,000","£ 1,369,320",M,28,South Korea,Crystal Palace,Premier League,2017-2018
25,Jaroslaw Jach,"£ 20,000","£ 1,040,000","£ 1,095,456",D,23,Poland,Crystal Palace,Premier League,2017-2018
26,Timothy Fosu-Mensah,"£ 15,000","£ 780,000","£ 821,592",D,19,Netherlands,Crystal Palace,Premier League,2017-2018
27,Aaron Wan-Bissaka,"£ 15,000","£ 780,000","£ 821,592",D,19,England,Crystal Palace,Premier League,2017-2018
28,Erdal Rakip,"£ 12,288","£ 639,000","£ 673,073",M,21,Sweden,Crystal Palace,Premier League,2017-2018
29,Michael Phillips,£ 750,"£ 39,000","£ 41,080",M,19,England,Crystal Palace,Premier League,2017-2018
30,Levi Lumeka,£ 500,"£ 26,000","£ 27,386",F,18,England,Crystal Palace,Premier League,2017-2018
31,Nya Kirby,£ 346,"£ 18,000","£ 18,960",M,17,England,Crystal Palace,Premier League,2017-2018
32,James Daly,£ 96,"£ 5,000","£ 5,267",F,17,England,Crystal Palace,Premier League,2017-2018
33,Ryan Inniss,£ 0,£ 0,£ 0,D,22,England,Crystal Palace,Premier League,2017-2018
34,Diego Cavalieri,£ 0,£ 0,£ 0,K,34,Brazil,Crystal Palace,Premier League,2017-2018
35,Sullay Kaikai,£ 0,£ 0,£ 0,F,21,England,Crystal Palace,Premier League,2017-2018
36,Keshi Anderson,£ 0,£ 0,£ 0,F,22,England,Crystal Palace,Premier League,2017-2018
37,Jonathan Williams,£ 0,£ 0,£ 0,M,23,Wales,Crystal Palace,Premier League,2017-2018
38,Freddie Ladapo,£ 0,£ 0,£ 0,F,24,England,Crystal Palace,Premier League,2017-2018
39,Jason Lokilo,£ 0,£ 0,£ 0,F,18,Belgium,Crystal Palace,Premier League,2017-2018
40,Dion Henry,£ 0,£ 0,£ 0,K,19,England,Crystal Palace,Premier League,2017-2018
41,Alexander Sörloth,£ 0,£ 0,£ 0,F,21,Norway,Crystal Palace,Premier League,2017-2018
