,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Yaya Touré,"£ 190,000","£ 9,880,000","£ 10,406,830",M,34,Cote d'Ivoire,Manchester City,Premier League,2017-2018
2,Nicolás Otamendi,"£ 180,000","£ 9,360,000","£ 9,859,102",D,29,Argentina,Manchester City,Premier League,2017-2018
3,Fernandinho,"£ 180,000","£ 9,360,000","£ 9,859,102",M,32,Brazil,Manchester City,Premier League,2017-2018
4,Kevin De Bruyne,"£ 175,000","£ 9,100,000","£ 9,585,238",M,26,Belgium,Manchester City,Premier League,2017-2018
5,David Silva,"£ 160,000","£ 8,320,000","£ 8,763,646",M,31,Spain,Manchester City,Premier League,2017-2018
6,Sergio Agüero,"£ 160,000","£ 8,320,000","£ 8,763,646",F,29,Argentina,Manchester City,Premier League,2017-2018
7,Raheem Sterling,"£ 150,000","£ 7,800,000","£ 8,215,918",F,22,England,Manchester City,Premier League,2017-2018
8,Vincent Kompany,"£ 150,000","£ 7,800,000","£ 8,215,918",D,31,Belgium,Manchester City,Premier League,2017-2018
9,Joe Hart,"£ 115,885","£ 6,026,000","£ 6,347,323",K,30,England,Manchester City,Premier League,2017-2018
10,Claudio Bravo,"£ 115,000","£ 5,980,000","£ 6,298,871",K,34,Chile,Manchester City,Premier League,2017-2018
11,Kyle Walker,"£ 110,000","£ 5,720,000","£ 6,025,007",D,27,England,Manchester City,Premier League,2017-2018
12,Bernardo Silva,"£ 100,000","£ 5,200,000","£ 5,477,279",F,22,Portugal,Manchester City,Premier League,2017-2018
13,Eliaquim Mangala,"£ 100,000","£ 5,200,000","£ 5,477,279",D,26,France,Manchester City,Premier League,2017-2018
14,John Stones,"£ 100,000","£ 5,200,000","£ 5,477,279",D,23,England,Manchester City,Premier League,2017-2018
15,Leroy Sané,"£ 95,000","£ 4,940,000","£ 5,203,415",F,21,Germany,Manchester City,Premier League,2017-2018
16,Benjamin Mendy,"£ 90,000","£ 4,680,000","£ 4,929,551",D,22,France,Manchester City,Premier League,2017-2018
17,Ilkay Gündogan,"£ 80,000","£ 4,160,000","£ 4,381,823",M,26,Germany,Manchester City,Premier League,2017-2018
18,Danilo,"£ 80,000","£ 4,160,000","£ 4,381,823",D,25,Brazil,Manchester City,Premier League,2017-2018
19,Fabian Delph,"£ 80,000","£ 4,160,000","£ 4,381,823",M,27,England,Manchester City,Premier League,2017-2018
20,Gabriel Jesus,"£ 75,000","£ 3,900,000","£ 4,107,959",F,20,Brazil,Manchester City,Premier League,2017-2018
21,Aymeric Laporte,"£ 70,000","£ 3,640,000","£ 3,834,095",D,23,France,Manchester City,Premier League,2017-2018
22,Ederson,"£ 65,000","£ 3,380,000","£ 3,560,231",K,23,Brazil,Manchester City,Premier League,2017-2018
23,Tosin Adarabioyo,"£ 30,000","£ 1,560,000","£ 1,643,184",D,19,England,Manchester City,Premier League,2017-2018
24,Lukas Nmecha,"£ 16,000","£ 832,000","£ 876,365",F,18,Germany,Manchester City,Premier League,2017-2018
25,Phil Foden,"£ 12,000","£ 624,000","£ 657,273",M,17,England,Manchester City,Premier League,2017-2018
26,Brahim Díaz,"£ 8,000","£ 416,000","£ 438,182",F,17,Spain,Manchester City,Premier League,2017-2018
27,Tom Dele-Bashiru,"£ 5,000","£ 260,000","£ 273,864",M,17,Nigeria,Manchester City,Premier League,2017-2018
28,Demeaco Duhaney,"£ 2,000","£ 104,000","£ 109,546",D,18,England,Manchester City,Premier League,2017-2018
29,Angus Gunn,£ 0,£ 0,£ 0,K,21,England,Manchester City,Premier League,2017-2018
30,Jack Harrison,£ 0,£ 0,£ 0,F,20,England,Manchester City,Premier League,2017-2018
31,Oleksandr Zinchenko,£ 0,£ 0,£ 0,D,20,Ukraine,Manchester City,Premier League,2017-2018
32,Patrick Roberts,£ 0,£ 0,£ 0,F,20,England,Manchester City,Premier League,2017-2018
