,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,James Milner,"£ 140,000","£ 7,280,000","£ 7,844,010",M,30,England,Liverpool,Premier League,2016-2017
2,Daniel Sturridge,"£ 130,000","£ 6,760,000","£ 7,283,723",F,26,England,Liverpool,Premier League,2016-2017
3,Philippe Coutinho,"£ 110,000","£ 5,720,000","£ 6,163,150",F,24,Brazil,Liverpool,Premier League,2016-2017
4,Roberto Firmino,"£ 100,000","£ 5,200,000","£ 5,602,864",F,24,Brazil,Liverpool,Premier League,2016-2017
5,Sadio Mané,"£ 100,000","£ 5,200,000","£ 5,602,864",F,24,Senegal,Liverpool,Premier League,2016-2017
6,Mamadou Sakho,"£ 85,000","£ 4,420,000","£ 4,762,434",D,26,France,Liverpool,Premier League,2016-2017
7,Jordan Henderson,"£ 80,000","£ 4,160,000","£ 4,482,291",M,26,England,Liverpool,Premier League,2016-2017
8,Adam Lallana,"£ 80,000","£ 4,160,000","£ 4,482,291",M,28,England,Liverpool,Premier League,2016-2017
9,Lucas Leiva,"£ 75,000","£ 3,900,000","£ 4,202,148",M,29,Brazil,Liverpool,Premier League,2016-2017
10,Lazar Markovic,"£ 75,000","£ 3,900,000","£ 4,202,148",F,22,Serbia,Liverpool,Premier League,2016-2017
11,Georginio Wijnaldum,"£ 75,000","£ 3,900,000","£ 4,202,148",M,25,Netherlands,Liverpool,Premier League,2016-2017
12,Nathaniel Clyne,"£ 75,000","£ 3,900,000","£ 4,202,148",D,25,England,Liverpool,Premier League,2016-2017
13,Danny Ings,"£ 75,000","£ 3,900,000","£ 4,202,148",F,23,England,Liverpool,Premier League,2016-2017
14,Dejan Lovren,"£ 70,000","£ 3,640,000","£ 3,922,005",D,26,Croatia,Liverpool,Premier League,2016-2017
15,Alberto Moreno,"£ 65,000","£ 3,380,000","£ 3,641,862",D,23,Spain,Liverpool,Premier League,2016-2017
16,Loris Karius,"£ 60,000","£ 3,120,000","£ 3,361,718",K,23,Germany,Liverpool,Premier League,2016-2017
17,Simon Mignolet,"£ 55,000","£ 2,860,000","£ 3,081,575",K,28,Belgium,Liverpool,Premier League,2016-2017
18,Emre Can,"£ 45,000","£ 2,340,000","£ 2,521,289",M,22,Germany,Liverpool,Premier League,2016-2017
19,Divock Origi,"£ 40,000","£ 2,080,000","£ 2,241,146",F,21,Belgium,Liverpool,Premier League,2016-2017
20,Jon Flanagan,"£ 32,500","£ 1,690,000","£ 1,820,931",D,23,England,Liverpool,Premier League,2016-2017
21,Ádám Bogdán,"£ 30,000","£ 1,560,000","£ 1,680,859",K,28,Hungary,Liverpool,Premier League,2016-2017
22,Joe Gomez,"£ 30,000","£ 1,560,000","£ 1,680,859",D,19,England,Liverpool,Premier League,2016-2017
23,Ragnar Klavan,"£ 30,000","£ 1,560,000","£ 1,680,859",D,30,Estonia,Liverpool,Premier League,2016-2017
24,Alexander Manninger,"£ 25,000","£ 1,300,000","£ 1,400,716",K,39,Austria,Liverpool,Premier League,2016-2017
25,Kevin Stewart,"£ 18,000","£ 936,000","£ 1,008,516",M,22,England,Liverpool,Premier League,2016-2017
26,Marko Grujic,"£ 17,500","£ 910,000","£ 980,501",M,20,Serbia,Liverpool,Premier League,2016-2017
27,Sheyi Ojo,"£ 10,000","£ 520,000","£ 560,286",F,19,England,Liverpool,Premier League,2016-2017
28,Harry Wilson,"£ 3,500","£ 182,000","£ 196,100",F,19,Wales,Liverpool,Premier League,2016-2017
29,Trent Alexander-Arnold,"£ 3,000","£ 156,000","£ 168,086",D,17,England,Liverpool,Premier League,2016-2017
30,Connor Randall,"£ 2,000","£ 104,000","£ 112,057",D,20,England,Liverpool,Premier League,2016-2017
31,MJ Williams,"£ 2,000","£ 104,000","£ 112,057",M,20,Wales,Liverpool,Premier League,2016-2017
32,Ovie Ejaria,"£ 1,500","£ 78,000","£ 84,043",M,18,England,Liverpool,Premier League,2016-2017
33,Ben Woodburn,£ 96,"£ 5,000","£ 5,387",F,16,Wales,Liverpool,Premier League,2016-2017
34,Rhian Brewster,£ 96,"£ 5,000","£ 5,387",F,16,England,Liverpool,Premier League,2016-2017
35,Danny Ward,£ 0,£ 0,£ 0,K,23,Wales,Liverpool,Premier League,2016-2017
36,Andre Wisdom,£ 0,£ 0,£ 0,D,23,England,Liverpool,Premier League,2016-2017
37,Joel Matip,£ 0,£ 0,£ 0,D,24,Cameroon,Liverpool,Premier League,2016-2017
38,Paulinho,£ 0,£ 0,£ 0,M,18,Portugal,Liverpool,Premier League,2016-2017
