,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Camilo Zúñiga,"£ 93,000","£ 4,836,000","£ 5,210,664",D,30,Colombia,Watford,Premier League,2016-2017
2,Troy Deeney,"£ 60,000","£ 3,120,000","£ 3,361,718",F,28,England,Watford,Premier League,2016-2017
3,Mauro Zárate,"£ 50,000","£ 2,600,000","£ 2,801,432",F,29,Argentina,Watford,Premier League,2016-2017
4,Tom Cleverley,"£ 50,000","£ 2,600,000","£ 2,801,432",M,26,England,Watford,Premier League,2016-2017
5,Daryl Janmaat,"£ 45,000","£ 2,340,000","£ 2,521,289",D,26,Netherlands,Watford,Premier League,2016-2017
6,Nordin Amrabat,"£ 45,000","£ 2,340,000","£ 2,521,289",F,29,Morocco,Watford,Premier League,2016-2017
7,Roberto Pereyra,"£ 45,000","£ 2,340,000","£ 2,521,289",M,25,Argentina,Watford,Premier League,2016-2017
8,Valon Behrami,"£ 42,000","£ 2,184,000","£ 2,353,203",M,31,Switzerland,Watford,Premier League,2016-2017
9,Stefano Okaka,"£ 35,000","£ 1,820,000","£ 1,961,002",F,26,Italy,Watford,Premier League,2016-2017
10,José Holebas,"£ 30,000","£ 1,560,000","£ 1,680,859",D,32,Greece,Watford,Premier League,2016-2017
11,Christian Kabasele,"£ 30,000","£ 1,560,000","£ 1,680,859",D,25,Belgium,Watford,Premier League,2016-2017
12,Isaac Success,"£ 30,000","£ 1,560,000","£ 1,680,859",F,20,Nigeria,Watford,Premier League,2016-2017
13,Kenedy,"£ 25,000","£ 1,300,000","£ 1,400,716",M,20,Brazil,Watford,Premier League,2016-2017
14,Miguel Britos,"£ 25,000","£ 1,300,000","£ 1,400,716",D,30,Uruguay,Watford,Premier League,2016-2017
15,Heurelho Gomes,"£ 25,000","£ 1,300,000","£ 1,400,716",K,35,Brazil,Watford,Premier League,2016-2017
16,Costel Pantilimon,"£ 25,000","£ 1,300,000","£ 1,400,716",K,29,Romania,Watford,Premier League,2016-2017
17,Allan Nyom,"£ 22,000","£ 1,144,000","£ 1,232,630",D,28,Cameroon,Watford,Premier League,2016-2017
18,Sebastian Prödl,"£ 20,000","£ 1,040,000","£ 1,120,573",D,29,Austria,Watford,Premier League,2016-2017
19,Adlène Guédioura,"£ 20,000","£ 1,040,000","£ 1,120,573",M,30,Algeria,Watford,Premier League,2016-2017
20,Brice Dja Djédjé,"£ 20,000","£ 1,040,000","£ 1,120,573",M,25,Cote d'Ivoire,Watford,Premier League,2016-2017
21,Abdoulaye Doucouré,"£ 20,000","£ 1,040,000","£ 1,120,573",M,23,France,Watford,Premier League,2016-2017
22,Ben Watson,"£ 17,000","£ 884,000","£ 952,487",M,30,England,Watford,Premier League,2016-2017
23,Craig Cathcart,"£ 13,000","£ 676,000","£ 728,372",D,27,Northern Ireland,Watford,Premier League,2016-2017
24,Giedrius Arlauskis,"£ 10,000","£ 520,000","£ 560,286",K,28,Lithuania,Watford,Premier League,2016-2017
25,Adrian Mariappa,"£ 7,000","£ 364,000","£ 392,200",D,29,Jamaica,Watford,Premier League,2016-2017
26,Rene Gilmartin,"£ 1,846","£ 96,000","£ 103,437",K,29,Ireland,Watford,Premier League,2016-2017
27,Carl Stewart,£ 750,"£ 39,000","£ 42,021",M,19,England,Watford,Premier League,2016-2017
28,Charlie Rowan,£ 346,"£ 18,000","£ 19,395",D,18,England,Watford,Premier League,2016-2017
29,Andrew Eleftheriou,£ 308,"£ 16,000","£ 17,240",D,18,England,Watford,Premier League,2016-2017
30,Brandon Mason,£ 308,"£ 16,000","£ 17,240",D,18,England,Watford,Premier League,2016-2017
31,Dion Pereira,£ 96,"£ 5,000","£ 5,387",F,17,England,Watford,Premier League,2016-2017
32,Obbi Oulare,£ 0,£ 0,£ 0,F,20,Belgium,Watford,Premier League,2016-2017
33,Odion Ighalo,£ 0,£ 0,£ 0,F,27,Nigeria,Watford,Premier League,2016-2017
34,Steven Berghuis,£ 0,£ 0,£ 0,F,24,Netherlands,Watford,Premier League,2016-2017
35,Sven Kums,£ 0,£ 0,£ 0,M,28,Belgium,Watford,Premier League,2016-2017
36,Tommie Hoban,£ 0,£ 0,£ 0,D,22,Ireland,Watford,Premier League,2016-2017
37,Jerome Sinclair,£ 0,£ 0,£ 0,F,19,England,Watford,Premier League,2016-2017
38,Younès Kaboul,£ 0,£ 0,£ 0,D,30,France,Watford,Premier League,2016-2017
39,Juan Carlos Paredes,£ 0,£ 0,£ 0,D,28,Ecuador,Watford,Premier League,2016-2017
40,Ikechi Anya,£ 0,£ 0,£ 0,M,28,Scotland,Watford,Premier League,2016-2017
41,Mario Suárez,£ 0,£ 0,£ 0,M,29,Spain,Watford,Premier League,2016-2017
42,Matej Vydra,£ 0,£ 0,£ 0,F,24,Czech Republic,Watford,Premier League,2016-2017
43,Mathias Ranégie,£ 0,£ 0,£ 0,F,32,Sweden,Watford,Premier League,2016-2017
44,M'Baye Niang,£ 0,£ 0,£ 0,F,21,Senegal,Watford,Premier League,2016-2017
45,Michael Folivi,£ 0,£ 0,£ 0,F,18,England,Watford,Premier League,2016-2017
46,Étienne Capoue,£ 0,£ 0,£ 0,M,27,France,Watford,Premier League,2016-2017
