,Unnamed: 0,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
0,1,Gianluigi Donnarumma,"€ 213,654","€ 11,110,000","€ 11,110,000",K,21,Italy,Ac Milan,Serie A,2020-2021
1,2,Zlatan Ibrahimovic,"€ 172,500","€ 8,970,000","€ 8,970,000",F,39,Sweden,Ac Milan,Serie A,2020-2021
2,3,Alessio Romagnoli,"€ 124,615","€ 6,480,000","€ 6,480,000",D,25,Italy,Ac Milan,Serie A,2020-2021
3,4,Hakan Calhanoglu,"€ 89,038","€ 4,630,000","€ 4,630,000",F,26,Turkey,Ac Milan,Serie A,2020-2021
4,5,Ante Rebic,"€ 86,346","€ 4,490,000","€ 4,490,000",F,27,Croatia,Ac Milan,Serie A,2020-2021
5,6,Sandro Tonali,"€ 78,269","€ 4,070,000","€ 4,070,000",M,20,Italy,Ac Milan,Serie A,2020-2021
6,7,Franck Kessié,"€ 78,269","€ 4,070,000","€ 4,070,000",M,23,Cote d'Ivoire,Ac Milan,Serie A,2020-2021
7,8,Mateo Musacchio,"€ 71,154","€ 3,700,000","€ 3,700,000",D,30,Argentina,Ac Milan,Serie A,2020-2021
8,9,Andrea Conti,"€ 71,154","€ 3,700,000","€ 3,700,000",D,26,Italy,Ac Milan,Serie A,2020-2021
9,10,Mario Mandzukic,"€ 64,038","€ 3,330,000","€ 3,330,000",F,34,Croatia,Ac Milan,Serie A,2020-2021
10,11,Soualiho Meïté,"€ 56,923","€ 2,960,000","€ 2,960,000",M,26,France,Ac Milan,Serie A,2020-2021
11,12,Ismaël Bennacer,"€ 53,462","€ 2,780,000","€ 2,780,000",M,22,Algeria,Ac Milan,Serie A,2020-2021
12,13,Samu Castillejo,"€ 53,462","€ 2,780,000","€ 2,780,000",F,25,Spain,Ac Milan,Serie A,2020-2021
13,14,Rade Krunic,"€ 39,231","€ 2,040,000","€ 2,040,000",M,27,Bosnia-Herzegovina,Ac Milan,Serie A,2020-2021
14,15,Theo Hernández,"€ 36,923","€ 1,920,000","€ 1,920,000",D,23,France,Ac Milan,Serie A,2020-2021
15,16,Antonio Donnarumma,"€ 35,577","€ 1,850,000","€ 1,850,000",K,30,Italy,Ac Milan,Serie A,2020-2021
16,17,Davide Calabria,"€ 35,577","€ 1,850,000","€ 1,850,000",D,23,Italy,Ac Milan,Serie A,2020-2021
