,Unnamed: 0,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
0,1,Daniel Baier,"€ 37,962","€ 1,974,000","€ 2,075,942",M,33,Germany,Augsburg,Bundesliga,2017-2018
1,2,Martin Hinteregger,"€ 22,846","€ 1,188,000","€ 1,249,351",D,24,Austria,Augsburg,Bundesliga,2017-2018
2,3,Jonathan Schmid,"€ 22,846","€ 1,188,000","€ 1,249,351",D,27,France,Augsburg,Bundesliga,2017-2018
3,4,Ja-cheol Koo,"€ 22,846","€ 1,188,000","€ 1,249,351",M,28,South Korea,Augsburg,Bundesliga,2017-2018
4,5,Philipp Max,"€ 22,769","€ 1,184,000","€ 1,245,145",D,23,Germany,Augsburg,Bundesliga,2017-2018
5,6,Michael Gregoritsch,"€ 19,231","€ 1,000,000","€ 1,051,642",F,23,Austria,Augsburg,Bundesliga,2017-2018
6,7,Jeffrey Gouweleeuw,"€ 19,038","€ 990,000","€ 1,041,126",D,25,Netherlands,Augsburg,Bundesliga,2017-2018
7,8,Marcel Heller,"€ 17,154","€ 892,000","€ 938,065",M,31,Germany,Augsburg,Bundesliga,2017-2018
8,9,Marwin Hitz,"€ 14,846","€ 772,000","€ 811,868",K,29,Switzerland,Augsburg,Bundesliga,2017-2018
9,10,Caiuby,"€ 14,846","€ 772,000","€ 811,868",F,28,Brazil,Augsburg,Bundesliga,2017-2018
10,11,Shawn Parker,"€ 14,846","€ 772,000","€ 811,868",F,24,Germany,Augsburg,Bundesliga,2017-2018
11,12,Fabian Giefer,"€ 14,846","€ 772,000","€ 811,868",K,27,Germany,Augsburg,Bundesliga,2017-2018
12,13,Gojko Kacar,"€ 14,846","€ 772,000","€ 811,868",M,30,Serbia,Augsburg,Bundesliga,2017-2018
13,14,Rani Khedira,"€ 9,904","€ 515,000","€ 541,596",M,23,Germany,Augsburg,Bundesliga,2017-2018
14,15,Christoph Janker,"€ 8,423","€ 438,000","€ 460,619",D,32,Germany,Augsburg,Bundesliga,2017-2018
15,16,Daniel Opare,"€ 8,423","€ 438,000","€ 460,619",D,26,Ghana,Augsburg,Bundesliga,2017-2018
16,17,Erik Thommy,"€ 8,423","€ 438,000","€ 460,619",M,22,Germany,Augsburg,Bundesliga,2017-2018
17,18,Andreas Luthe,"€ 6,827","€ 355,000","€ 373,333",K,30,Germany,Augsburg,Bundesliga,2017-2018
18,19,Kevin Danso,"€ 4,462","€ 232,000","€ 243,981",D,18,Austria,Augsburg,Bundesliga,2017-2018
19,20,Raphael Framberger,"€ 4,462","€ 232,000","€ 243,981",D,21,Germany,Augsburg,Bundesliga,2017-2018
20,21,Sergio Córdova,"€ 4,462","€ 232,000","€ 243,981",F,19,Venezuela,Augsburg,Bundesliga,2017-2018
21,22,Marco Richter,"€ 2,846","€ 148,000","€ 155,643",F,19,Germany,Augsburg,Bundesliga,2017-2018
22,23,Efkan Bekiroglu,€ 846,"€ 44,000","€ 46,272",M,21,Germany,Augsburg,Bundesliga,2017-2018
23,24,Ioannis Gelios,€ 654,"€ 34,000","€ 35,756",K,25,Greece,Augsburg,Bundesliga,2017-2018
24,25,Simon Asta,€ 58,"€ 3,000","€ 3,155",D,16,Germany,Augsburg,Bundesliga,2017-2018
25,26,Maurice Malone,€ 58,"€ 3,000","€ 3,155",F,16,Germany,Augsburg,Bundesliga,2017-2018
26,27,Konstantinos Stafylidis,€ 0,€ 0,€ 0,D,23,Greece,Augsburg,Bundesliga,2017-2018
27,28,Kilian Jakob,€ 0,€ 0,€ 0,D,19,Germany,Augsburg,Bundesliga,2017-2018
28,29,Jan Morávek,€ 0,€ 0,€ 0,M,27,Czech Republic,Augsburg,Bundesliga,2017-2018
29,30,Romario Rösch,€ 0,€ 0,€ 0,M,18,Germany,Augsburg,Bundesliga,2017-2018
30,31,Jan-Ingwer Callsen-Bracker,€ 0,€ 0,€ 0,D,32,Germany,Augsburg,Bundesliga,2017-2018
31,32,Dong-won Ji,€ 0,€ 0,€ 0,F,26,South Korea,Augsburg,Bundesliga,2017-2018
32,33,Alfred Finnbogason,€ 0,€ 0,€ 0,F,28,Iceland,Augsburg,Bundesliga,2017-2018
0,1,Karim Bellarabi,"€ 94,923","€ 4,936,000","€ 5,190,907",F,27,Germany,Bayer Leverkusen,Bundesliga,2017-2018
1,2,Sven Bender,"€ 94,923","€ 4,936,000","€ 5,190,907",D,28,Germany,Bayer Leverkusen,Bundesliga,2017-2018
2,3,Kevin Volland,"€ 94,923","€ 4,936,000","€ 5,190,907",F,24,Germany,Bayer Leverkusen,Bundesliga,2017-2018
