league|match_id|player_id|Shot_metrics.distance|Shot_metrics.average_distance|Shot_metrics.shots_on_goal|Shot_metrics.accuracy|Shot_metrics.goals|Shot_metrics.goals_per_attempt|Shot_metrics.shot_time|Shot_metrics.shot_time_period|Shot_metrics.body_part_shots|Pass_metrics.distances|Pass_metrics.success|Pass_metrics.success rate|Pass_metrics.assists|Pass_metrics.num assists|Pass_metrics.key_pass_event|Pass_metrics.key_pass_time|Pass_metrics.key_pass_period|Foul_metrics.fouls_committed|Foul_metrics.fouls_committed_time|Foul_metrics.fouls_committed_period|Foul_metrics.fouls_recieved|Foul_metrics.fouls_recieved_time|Foul_metrics.fouls_recieved_period|Foul_metrics.yellow_cards|Foul_metrics.yellow_cards_time|Foul_metrics.yellow_cards_period|Foul_metrics.red_cards|Foul_metrics.red_cards_time|Foul_metrics.red_cards_period
spain|2565549|140125|[]|nan|[]|0.0|0|0.0|[]|[]|[]|"[17.8392825  18.85        9.88382517 20.03596766 20.45880006 13.89748179
 19.88095823 10.54751155]"|[1 1 1 1 1 1 1 1]|1.0|[0 0 0 0 0 0 0 0]|0|[]|[]|[]|0|[]|[]|0|[]|[]|0|[]|[]|0|[]|[]
events_World_Cup|2057954|122671|[17.83704011 11.56243919]|14.699739651115959|[0 0]|0.0|[0 0]|0.0|[21.10460445 10.52833665]|['1H' '2H']|['left' 'left']|[16.65270248 11.30364985  2.66270539  4.99524774  6.97298358]|[1 1 1 1 1]|1.0|[0 0 0 0 0]|0|[]|[]|[]|2|[16.24511315 19.60150515]|['1H' '1H']|0|[]|[]|0|[]|[]|0|[]|[]
events_World_Cup|2057954|139393|[]|nan|[]|0.0|0|0.0|[]|[]|[]|"[50.85518656 21.09502311 13.8554141   7.1063352  13.89748179 10.23975097
  6.7683085   1.5        11.10180166  5.69231939 22.5        17.39252713
 12.58729518 12.42014493 25.12374375 48.93743455 21.09502311 11.85326959
 11.28505649 10.55746182 41.31189296 31.60415321 11.98217426 13.37946187
 20.46118276 17.97247896 12.52247979 24.41823089  6.29364759  2.32432786
 14.62711523 32.97059296 32.34826116 14.31965433 16.35305782 33.93674263
 22.32129029 39.40380692 64.54843143 13.20037878 23.78108492 34.71674668
  1.1        15.73411898 11.22775579  8.43341568  1.86010752 12.06244171
  7.73643975  8.70703738 11.22775579 18.7         9.31946887]"|"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1]"|0.9056603773584906|"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"|0|[]|[]|[]|1|[40.40580845]|['1H']|4|[39.38694421666666, 45.916724683333335, 3.34155726666667, 11.55842465]|['1H', '1H', '2H', '2H']|0|[]|[]|0|[]|[]
events_World_Cup|2057954|103668|[]|nan|[]|0.0|0|0.0|[]|[]|[]|"[24.22581268 32.21583462 39.15558709 13.75       15.73411898 17.61597287
 17.5314717  11.72401382 55.50900828 17.12921481 23.68907976  7.60345316
  8.022001    4.46346278 40.02277477 18.66788686 45.75       45.41544341
 33.14528624 14.62711523 27.01184925 30.88207409 32.28451641 26.68712236
 23.87074569 33.04375887 30.96223506 27.05665353 33.01908539 14.20572068
 28.837649   34.15391632 37.76668505]"|[1 1 1 1 1 0 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1]|0.7878787878787878|[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]|0|[]|[]|[]|1|[26.83818402]|['1H']|0|[]|[]|0|[]|[]|0|[]|[]
events_World_Cup|2057954|122940|[22.40652807 13.94596716]|18.17624761280911|[0 0]|0.0|[0 0]|0.0|[ 5.45238235 30.33962923]|['1H' '1H']|['right' 'head/body']|"[19.8         2.2         8.8        10.54751155 12.42386816  5.32541078
 14.31965433 41.81506905 15.08011936  7.09947181 10.72800075 31.40843836
 11.19430659 27.56360825 19.03818531 26.66500516 23.40240372 13.69525465
  5.32541078 11.85326959 16.09200112 24.93872491 25.69708155  5.69231939
 15.97623235 23.53423039 13.53661701  4.94191259 13.20037878 32.45935921
  7.09947181 15.70421918 18.03357979 12.78123625 16.74820886 14.29239308
 21.07065495 30.63494736 28.3162939   7.84474346 19.15861425  6.64247695
 33.48193543 18.52997572 34.93812388 42.17831196 14.4188245  13.63277301
  8.91964125  6.64247695 30.20496648  8.92692556 32.62422413 35.70770225
 11.85326959  7.1063352  10.34456379]"|"[1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 0 1 1 1 1 1 1 1
 1 1 1 1 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 0]"|0.7719298245614035|"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"|0|['Cross' 'Smart pass' 'Smart pass']|[20.26026393 34.25603683 37.07900357]|['1H' '1H' '2H']|1|[30.49566795]|['2H']|1|[47.115409799999995]|['2H']|0|[]|[]|0|[]|[]
events_World_Cup|2057954|122847|[]|nan|[]|0.0|0|0.0|[]|[]|[]|"[ 8.92692556  1.5        13.88569408  5.69231939 20.75307206 10.69684533
 15.56349896 11.30364985 14.25798022  7.84474346  6.97298358 22.36716343
 14.43121616 18.52997572  8.91964125  8.19390017 12.18862174  8.70703738
 30.96223506 16.14744562 13.75        8.8319024  16.5        30.3119201
 13.94596716 36.56586523 19.83053202 11.72401382 19.57779354 38.29911879
 46.9920206  14.6990646  40.55628805 21.31900561 28.95185659 11.56243919
 37.43006813  5.00899191  9.08308868 38.31321574 18.87862548 18.63893774
 28.69708173 32.18400224  5.55090083 25.92011767 18.13394607 25.5
  3.62491379 19.25934838 15.53938544 11.16064514 11.56243919 14.57737974
 13.63277301 16.83931412 16.04400199  9.56569391 45.12083776 19.8890045
 26.56990779 28.50438563 25.20495983 45.39297853 15.90290854  3.
  5.00899191 27.51022537 29.90087791 26.03094313  7.4404301   2.32432786
 31.75928998 20.27985454 39.062258   11.84440796 30.43390379]"|"[1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1
 1 1 1]"|0.935064935064935|"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"|0|[]|[]|[]|0|[]|[]|3|[32.45051995, 40.40580845, 14.472660166666666]|['1H', '1H', '2H']|0|[]|[]|0|[]|[]
events_World_Cup|2057954|122832|[32.62422413 36.95771232]|34.790968224840526|[0 0]|0.0|[0 0]|0.0|[27.4576393  27.77577175]|['1H' '2H']|['right' 'right']|"[23.29399064 11.30364985  8.70703738 35.52354853 12.52247979  3.38415425
 17.99506877  6.29364759 40.29419933 33.30540497  5.00899191 68.22061639
 13.88569408 19.88095823  8.25       32.11965909 21.37896162 30.45738827
 11.10180166 11.56243919 19.07229666  6.29364759  8.70703738 11.20591362
  6.65676348 14.35696695 21.70829335 15.63201842 20.3691556  38.30172973
 10.55746182 30.18095426 21.2337585  10.69684533 22.75543891  3.19530906
 10.01798383 15.41825217 58.95466479 45.05374568 45.12083776 40.5671049
 16.74820886 15.02697574]"|"[1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1
 1 1 1 1 1 1 1]"|0.8636363636363636|"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"|0|['Smart pass' 'Smart pass']|[ 5.60883092 34.65488625]|['1H' '1H']|0|[]|[]|3|[26.838184016666666, 12.228155283333331, 41.58372438333334]|['1H', '2H', '2H']|0|[]|[]|0|[]|[]
events_World_Cup|2057954|101699|[18.00173603 25.42759328]|21.714664653568537|[0 0]|0.0|[0 0]|0.0|[6.78539832 6.18105383]|['1H' '2H']|['right' 'right']|"[21.44621179 10.15246276 19.13138782  3.38415425 41.65708223  3.38415425
  6.83904233 13.89505308 29.85113063 27.51022537  6.65676348 45.79836242
  6.39061812 13.22128965 10.01299156 32.55764119 22.8035085 ]"|[1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0]|0.8823529411764706|[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]|0|['Cross']|[18.59169742]|['1H']|1|[12.22815528]|['2H']|1|[0.8013562833333334]|['1H']|0|[]|[]|0|[]|[]
events_World_Cup|2057954|41123|[]|nan|[]|0.0|0|0.0|[]|[]|[]|"[19.42427605 49.39192748 19.43765675  9.30053762 29.43637206 32.38089715
  2.32432786 12.12322152 42.95896298 32.79028057 19.07229666 10.23975097
 31.88577269  2.32432786  8.8319024  24.76292592 24.89096222 10.54751155
 23.3893138  26.21187708  6.83904233 62.70448549 16.27029502 22.98891037
 30.88207409 30.945759  ]"|[1 1 1 1 1 1 0 0 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1]|0.8076923076923077|[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]|0|['Cross']|[6.76801023]|['1H']|0|[]|[]|0|[]|[]|0|[]|[]|0|[]|[]
events_World_Cup|2057954|101707|[]|nan|[]|0.0|0|0.0|[]|[]|[]|"[20.18792956 10.74895344 16.65270248 23.14865007  8.70703738 21.74948275
  6.83904233 16.52755275  9.9        16.86683136  7.1063352  22.07039873
 25.52371446  7.81600921  8.1394103  19.5        36.56036105 11.30364985
 28.46159693]"|[0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1]|0.7894736842105263|[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]|0|"['Simple pass' 'Simple pass' 'Smart pass' 'Head pass' 'Head pass'
 'Simple pass' 'Simple pass' 'Simple pass' 'Simple pass' 'Simple pass'
 'Simple pass' 'Simple pass' 'Simple pass' 'Simple pass' 'Simple pass'
 'Smart Pass' 'Simple pass' 'Simple pass' 'Head pass']"|"[ 0.71915597  4.64109613  6.73364448 10.43127465 17.1940035  17.29839995
 26.02678155 31.63872473 36.6399006  36.84178985 38.94807768  0.05577813
  6.11496412 16.84198828 16.89156107 19.27794297 22.0113592  23.0753875
 24.15819245]"|"['1H' '1H' '1H' '1H' '1H' '1H' '1H' '1H' '1H' '1H' '1H' '2H' '2H' '2H'
 '2H' '2H' '2H' '2H' '2H']"|2|[ 3.10115335 33.19470962]|['1H' '1H']|0|[]|[]|0|[]|[]|0|[]|[]
