,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
526,gr GRE,DF,28,24,24,"2,057",22.9,1,1,1,0,0,9,1,0.04,0.04,0.09,0.04,0.09,1.7,1.7,0.7,2.4,0.08,0.03,0.11,0.08,0.11,Dimitris Siovas
527,ma MAR,"FW,MF",30,30,20,"1,981",22.0,2,2,2,0,0,2,0,0.09,0.09,0.18,0.09,0.18,3.8,3.8,2.3,6.2,0.17,0.11,0.28,0.17,0.28,Nabil El Zhar
528,es ESP,DF,25,20,18,"1,637",18.2,2,0,2,0,0,5,0,0.11,0.00,0.11,0.11,0.11,2.4,2.4,0.2,2.6,0.13,0.01,0.14,0.13,0.14,Unai Bustinza
529,es ESP,"FW,MF",29,23,18,"1,448",16.1,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.4,0.4,1.8,2.3,0.03,0.11,0.14,0.03,0.14,Omar Ramos
530,gp GLP,FW,29,28,17,"1,672",18.6,2,0,2,0,0,4,0,0.11,0.00,0.11,0.11,0.11,4.2,4.2,1.3,5.5,0.23,0.07,0.29,0.23,0.29,Claudio Beauvue
531,ma MAR,"FW,MF",30,30,17,"1,623",18.0,2,4,2,0,0,6,1,0.11,0.22,0.33,0.11,0.33,3.7,3.7,3.2,6.9,0.20,0.18,0.38,0.20,0.38,Nordin Amrabat
532,ar ARG,DF,26,19,17,"1,407",15.6,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,0.7,1.0,0.02,0.04,0.06,0.02,0.06,Ezequiel Muñoz
533,es ESP,MF,22,25,16,"1,434",15.9,1,0,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.5,1.2,0.04,0.03,0.07,0.04,0.07,Gerard Gumbau
534,es ESP,FW,27,22,15,"1,442",16.0,4,3,4,0,1,3,0,0.25,0.19,0.44,0.25,0.44,5.7,4.9,1.5,6.4,0.35,0.09,0.45,0.31,0.40,Miguel Ángel Guerrero
535,es ESP,DF,28,19,15,"1,392",15.5,0,2,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,2.2,2.4,0.01,0.14,0.16,0.01,0.16,Raúl García
536,rs SRB,"MF,FW",25,23,13,"1,203",13.4,2,0,2,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.6,1.6,1.0,2.5,0.12,0.07,0.19,0.12,0.19,Darko Brašanac
537,ar ARG,"MF,FW",28,13,13,"1,060",11.8,2,2,1,1,1,1,0,0.17,0.17,0.34,0.08,0.25,2.2,1.4,2.5,3.9,0.19,0.21,0.40,0.12,0.33,Alexander
538,ar ARG,DF,33,14,10,"1,022",11.4,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.8,0.8,0.1,0.9,0.07,0.01,0.08,0.07,0.08,Martín Mantovani
