,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
521,eng ENG,MF,36,2,1,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.43,0.05,0.48,0.43,0.48,Michael Carrick
522,se SWE,"MF,FW",35,5,1,106,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.18,0.08,0.26,0.18,0.26,Zlatan Ibrahimović
523,ar ARG,GK,30,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Sergio Romero
524,eng ENG,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Axel Tuanzebe
525,pt POR,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Joel Castro Pereira
526,ba BIH,GK,30,38,38,"3,420",38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Asmir Begović
527,nl NED,DF,22,38,37,"3,353",37.3,2,3,2,0,0,5,0,0.05,0.08,0.13,0.05,0.13,1.4,1.4,1.9,3.4,0.04,0.05,0.09,0.04,0.09,Nathan Aké
528,eng ENG,"DF,MF",30,35,34,"3,002",33.4,1,3,1,0,0,0,0,0.03,0.09,0.12,0.03,0.12,0.6,0.6,2.2,2.8,0.02,0.06,0.08,0.02,0.08,Charlie Daniels
529,eng ENG,DF,26,34,31,"2,767",30.7,2,1,2,0,0,5,0,0.07,0.03,0.10,0.07,0.10,1.6,1.6,1.0,2.6,0.05,0.03,0.08,0.05,0.08,Steve Cook
530,eng ENG,DF,32,32,31,"2,705",30.1,0,1,0,0,0,9,2,0.00,0.03,0.03,0.00,0.03,0.6,0.6,1.5,2.1,0.02,0.05,0.07,0.02,0.07,Simon Francis
531,no NOR,"FW,MF",25,33,27,"2,453",27.3,8,3,6,2,2,3,0,0.29,0.11,0.40,0.22,0.33,6.5,4.9,4.9,9.8,0.24,0.18,0.42,0.18,0.36,Joshua King
532,eng ENG,MF,20,29,25,"2,237",24.9,0,2,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,1.6,2.0,0.02,0.06,0.08,0.02,0.08,Lewis Cook
533,sct SCO,"MF,DF",23,26,23,"2,004",22.3,5,3,5,0,0,0,0,0.22,0.13,0.36,0.22,0.36,1.8,1.8,3.3,5.1,0.08,0.15,0.23,0.08,0.23,Ryan Fraser
534,eng ENG,FW,25,28,23,"1,981",22.0,8,2,8,0,0,0,0,0.36,0.09,0.45,0.36,0.45,7.6,7.6,1.5,9.1,0.34,0.07,0.41,0.34,0.41,Callum Wilson
535,eng ENG,"DF,MF",26,27,22,"2,071",23.0,1,3,1,0,0,6,0,0.04,0.13,0.17,0.04,0.17,0.5,0.5,1.6,2.1,0.02,0.07,0.09,0.02,0.09,Adam Smith
536,eng ENG,"MF,FW",21,32,22,"1,995",22.2,2,6,2,0,0,1,0,0.09,0.27,0.36,0.09,0.36,3.0,3.0,3.3,6.3,0.13,0.15,0.28,0.13,0.28,Jordon Ibe
537,eng ENG,MF,27,28,21,"1,947",21.6,2,1,2,0,0,8,0,0.09,0.05,0.14,0.09,0.14,2.1,2.1,0.9,3.0,0.10,0.04,0.14,0.10,0.14,Dan Gosling
538,eng ENG,MF,30,25,20,"1,856",20.6,2,5,2,0,0,2,0,0.10,0.24,0.34,0.10,0.34,1.2,1.2,1.0,2.2,0.06,0.05,0.11,0.06,0.11,Andrew Surman
539,eng ENG,"MF,FW",27,19,17,"1,286",14.3,5,2,4,1,1,1,0,0.35,0.14,0.49,0.28,0.42,3.9,3.1,1.9,5.0,0.27,0.13,0.40,0.22,0.35,Junior Stanislas
540,eng ENG,FW,34,24,11,"1,088",12.1,4,1,4,0,0,1,0,0.33,0.08,0.41,0.33,0.41,3.5,3.5,1.1,4.6,0.29,0.09,0.38,0.29,0.38,Jermain Defoe
541,eng ENG,"MF,FW",30,20,11,985,10.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.5,1.9,0.12,0.05,0.17,0.12,0.17,Marc Pugh
