,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
600,eng ENG,DF,27,22,21,"1,741",19.3,1,2,1,0,0,2,0,0.05,0.10,0.16,0.05,0.16,0.3,0.3,1.2,1.5,0.01,0.06,0.08,0.01,0.08,Fabian Delph
601,br BRA,FW,20,29,19,"1,668",18.5,13,3,13,0,2,6,0,0.70,0.16,0.86,0.70,0.86,13.8,12.2,2.1,14.3,0.74,0.11,0.86,0.66,0.77,Gabriel Jesus
602,be BEL,DF,31,17,17,"1,394",15.5,1,1,1,0,0,6,0,0.06,0.06,0.13,0.06,0.13,0.8,0.8,0.5,1.3,0.05,0.03,0.08,0.05,0.08,Vincent Kompany
603,eng ENG,DF,23,18,16,"1,302",14.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.05,0.00,0.05,0.05,0.05,John Stones
604,pt POR,"FW,MF",22,35,15,"1,533",17.0,6,4,6,0,0,0,0,0.35,0.23,0.59,0.35,0.59,3.8,3.5,2.8,6.3,0.22,0.16,0.39,0.20,0.37,Bernardo Silva
605,de GER,MF,26,30,15,"1,517",16.9,4,1,3,1,1,3,0,0.24,0.06,0.30,0.18,0.24,3.0,2.3,1.7,4.0,0.18,0.10,0.28,0.13,0.24,İlkay Gündoğan
606,br BRA,DF,26,23,13,"1,349",15.0,3,2,3,0,0,2,0,0.20,0.13,0.33,0.20,0.33,1.1,1.1,0.2,1.3,0.07,0.01,0.09,0.07,0.09,Danilo
607,es ESP,DF,23,9,9,806,9.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Aymeric Laporte
608,ua UKR,DF,20,8,6,532,5.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.02,0.07,0.09,0.02,0.09,Oleksandr Zinchenko
609,fr FRA,DF,26,9,4,488,5.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.03,0.01,0.03,0.03,0.03,Eliaquim Mangala
610,fr FRA,"DF,FW",23,7,4,363,4.0,0,1,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,0.1,0.1,0.8,0.9,0.03,0.19,0.23,0.03,0.23,Benjamin Mendy
611,cl CHI,GK,34,3,2,226,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Claudio Bravo
612,ci CIV,MF,34,10,1,236,2.6,0,2,0,0,0,1,0,0.00,0.76,0.76,0.00,0.76,0.4,0.4,0.9,1.3,0.14,0.35,0.49,0.14,0.49,Yaya Touré
613,es ESP,"FW,DF",17,5,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.79,0.00,0.79,0.79,0.79,Brahim Díaz
614,eng ENG,"MF,FW",17,5,0,49,0.5,0,1,0,0,0,0,0,0.00,1.84,1.84,0.00,1.84,0.0,0.0,0.3,0.3,0.00,0.61,0.61,0.00,0.61,Phil Foden
615,de GER,FW,18,2,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Lukas Nmecha
616,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Tosin Adarabioyo
