,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
485,de GER,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Max Besuschkow
486,de GER,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Deji Beyreuther
487,de GER,GK,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,Jan Zimmermann
488,de GER,"DF,MF",24,34,34,"3,060",34.0,1,4,1,0,1,2,0,0.03,0.12,0.15,0.03,0.15,1.9,1.1,3.8,4.9,0.06,0.11,0.17,0.03,0.14,Christian Günter
489,de GER,GK,25,33,33,"2,906",32.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.00,0.00,0.01,0.00,0.01,Alexander Schwolow
490,de GER,"MF,FW",23,33,31,"2,748",30.5,3,4,2,1,2,9,0,0.10,0.13,0.23,0.07,0.20,4.9,3.3,3.4,6.7,0.16,0.11,0.27,0.11,0.22,Janik Haberer
491,tr TUR,DF,21,26,25,"2,153",23.9,1,0,1,0,0,5,2,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.0,0.8,0.03,0.00,0.03,0.03,0.03,Çağlar Söyüncü
492,de GER,MF,27,27,24,"2,259",25.1,1,3,1,0,0,7,1,0.04,0.12,0.16,0.04,0.16,0.7,0.7,1.8,2.5,0.03,0.07,0.10,0.03,0.10,Nicolas Höfler
493,de GER,FW,28,32,24,"2,244",24.9,15,1,10,5,6,4,1,0.60,0.04,0.64,0.40,0.44,12.3,7.6,2.7,10.2,0.49,0.11,0.60,0.30,0.41,Nils Petersen
494,de GER,"MF,DF",21,25,21,"1,941",21.6,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,0.5,0.5,0.8,1.3,0.02,0.04,0.06,0.02,0.06,Pascal Stenzel
495,de GER,"MF,DF",21,26,21,"1,919",21.3,2,1,2,0,0,3,0,0.09,0.05,0.14,0.09,0.14,0.9,0.9,1.0,1.8,0.04,0.05,0.09,0.04,0.09,Robin Koch
496,de GER,"MF,FW",26,24,19,"1,489",16.5,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,1.9,1.9,3.0,4.9,0.12,0.18,0.30,0.12,0.30,Marco Terrazzino
497,de GER,DF,26,17,17,"1,530",17.0,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,1.2,1.2,0.1,1.3,0.07,0.00,0.07,0.07,0.07,Manuel Gulde
498,de GER,"DF,MF",32,18,16,"1,308",14.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.2,1.8,0.04,0.08,0.13,0.04,0.13,Julian Schuster
499,de GER,"DF,MF",24,15,13,"1,151",12.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Lukas Kübler
500,de GER,"FW,DF",21,22,12,"1,138",12.6,2,3,2,0,0,2,0,0.16,0.24,0.40,0.16,0.40,4.4,4.4,2.3,6.6,0.34,0.18,0.53,0.34,0.53,Tim Kleindienst
501,de GER,MF,30,15,12,"1,041",11.6,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.9,0.9,0.7,1.5,0.07,0.06,0.13,0.07,0.13,Mike Frantz
502,de GER,"FW,MF",23,14,12,906,10.1,1,0,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,2.3,2.3,0.2,2.5,0.23,0.02,0.25,0.23,0.25,Lucas Höler
503,de GER,DF,22,12,11,901,10.0,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.5,0.5,1.0,1.4,0.05,0.10,0.14,0.05,0.14,Marc-Oliver Kempf
504,at AUT,DF,21,11,11,865,9.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.01,0.01,0.01,0.01,Philipp Lienhart
505,al ALB,MF,27,12,11,850,9.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.02,0.05,0.07,0.02,0.07,Amir Abrashi
506,de GER,"FW,MF",26,10,9,697,7.7,2,0,2,0,1,1,0,0.26,0.00,0.26,0.26,0.26,3.1,2.3,0.6,2.9,0.40,0.07,0.48,0.30,0.38,Florian Niederlechner
507,fr FRA,"FW,MF",27,10,5,498,5.5,0,2,0,0,0,0,1,0.00,0.36,0.36,0.00,0.36,0.7,0.7,1.7,2.4,0.12,0.31,0.44,0.12,0.44,Yoric Ravet
508,de GER,"FW,MF",22,24,3,674,7.5,1,0,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13,1.2,1.2,0.3,1.4,0.16,0.04,0.19,0.16,0.19,Florian Kath
509,pl POL,"FW,MF",20,7,3,235,2.6,1,0,1,0,0,0,0,0.38,0.00,0.38,0.38,0.38,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Bartosz Kapustka
510,ch SUI,"MF,FW",21,4,3,213,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.3,0.08,0.07,0.15,0.08,0.15,Vincent Sierro
511,eng ENG,"FW,MF",20,6,1,245,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.31,0.02,0.33,0.31,0.33,Ryan Kent
512,us USA,DF,24,6,1,191,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Caleb Stanko
513,pl POL,GK,29,2,1,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Rafał Gikiewicz
514,sk SVK,FW,32,2,1,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Karim Guédé
