,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
455,it ITA,MF,20,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Simone Pontisso
456,pl POL,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Paweł Bochniewicz
457,it ITA,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Davide Borsellini
458,it ITA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Aldo Caiazza
459,ci CIV,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Franck Djoulou
460,it ITA,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Andrea Donadello
461,br BRA,"FW,MF",21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Ewandro
462,it ITA,GK,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,Manuel Gasparini
463,ma MAR,"FW,MF",21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Nabil Jaadi
464,al ALB,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Luis Ndreu
465,it ITA,GK,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,Semuel Pizzignacco
466,ba BIH,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Mak Varešanović
467,sk SVK,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Filip Vaško
468,es ESP,FW,30,38,38,"3,238",36.0,10,9,10,0,0,3,0,0.28,0.25,0.53,0.28,0.53,9.6,9.6,7.3,16.9,0.27,0.20,0.47,0.27,0.47,José Callejón
469,es ESP,GK,34,37,37,"3,330",37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.01,0.01,0.00,0.01,Pepe Reina
470,it ITA,FW,26,37,36,"3,090",34.3,8,11,7,1,1,4,0,0.23,0.32,0.55,0.20,0.52,14.4,13.5,12.6,26.2,0.42,0.37,0.78,0.39,0.76,Lorenzo Insigne
471,al ALB,DF,23,35,35,"3,125",34.7,0,1,0,0,0,3,1,0.00,0.03,0.03,0.00,0.03,0.4,0.4,1.7,2.1,0.01,0.05,0.06,0.01,0.06,Elseid Hysaj
472,sn SEN,DF,26,35,35,"3,066",34.1,5,1,5,0,0,5,1,0.15,0.03,0.18,0.15,0.18,2.6,2.6,0.3,2.9,0.08,0.01,0.09,0.08,0.09,Kalidou Koulibaly
473,be BEL,FW,30,38,35,"3,002",33.4,18,7,14,4,5,4,0,0.54,0.21,0.75,0.42,0.63,17.9,14.0,7.2,21.2,0.54,0.22,0.75,0.42,0.64,Dries Mertens
474,it ITA,MF,25,33,33,"2,650",29.4,2,3,1,1,2,5,0,0.07,0.10,0.17,0.03,0.14,2.1,0.4,4.1,4.6,0.07,0.14,0.21,0.01,0.16,Jorginho
475,br BRA,MF,26,38,32,"2,850",31.7,4,5,4,0,0,2,0,0.13,0.16,0.28,0.13,0.28,3.8,3.8,3.6,7.3,0.12,0.11,0.23,0.12,0.23,Allan
476,sk SVK,MF,30,38,32,"2,371",26.3,7,1,7,0,0,2,0,0.27,0.04,0.30,0.27,0.30,6.6,6.6,2.9,9.5,0.25,0.11,0.36,0.25,0.36,Marek Hamšík
477,es ESP,DF,31,31,30,"2,742",30.5,3,1,3,0,0,7,0,0.10,0.03,0.13,0.10,0.13,1.4,1.4,1.3,2.6,0.04,0.04,0.09,0.04,0.09,Raúl Albiol
478,pt POR,DF,26,25,24,"2,087",23.2,2,2,2,0,0,9,2,0.09,0.09,0.17,0.09,0.17,0.3,0.3,2.9,3.2,0.01,0.13,0.14,0.01,0.14,Mário Rui
479,pl POL,"MF,FW",23,36,14,"1,667",18.5,4,1,4,0,0,3,0,0.22,0.05,0.27,0.22,0.27,2.5,2.5,2.7,5.2,0.13,0.15,0.28,0.13,0.28,Piotr Zieliński
