,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
476,cm CMR,"FW,MF",18,6,0,69,0.8,1,0,1,0,0,1,0,1.30,0.00,1.30,1.30,1.30,0.9,0.6,0.0,0.7,1.19,0.04,1.23,0.84,0.88,Ignatius Ganago
477,fr FRA,"MF,FW",18,3,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Hicham Mahou
478,fr FRA,"MF,FW",20,2,0,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Vincent Marcel
479,fr FRA,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Romain Perraud
480,fr FRA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Olivier Boscagli
481,mq MTQ,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Yannis Clementia
482,br BRA,"DF,MF",23,0,0,,,,,,,,,,,,,,,,,,,,,,,,Dalbert Henrique
483,fr FRA,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,Gautier Lloris
484,fr FRA,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Andy Pelmard
485,pt POR,DF,23,35,35,"3,146",35.0,1,0,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,0.9,0.9,0.5,1.3,0.02,0.01,0.04,0.02,0.04,Edgar Ié
486,fr FRA,GK,22,34,34,"3,032",33.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Mike Maignan
487,ci CIV,"FW,MF",22,36,31,"2,841",31.6,13,4,12,1,1,5,0,0.41,0.13,0.54,0.38,0.51,8.2,7.4,3.9,11.3,0.26,0.12,0.38,0.23,0.36,Nicolas Pépé
488,py PAR,DF,24,34,30,"2,781",30.9,2,1,2,0,0,3,0,0.06,0.03,0.10,0.06,0.10,1.1,1.1,0.5,1.7,0.04,0.02,0.05,0.04,0.05,Júnior Alonso
489,fr FRA,"MF,DF",24,30,30,"2,405",26.7,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.4,1.3,0.03,0.01,0.05,0.03,0.05,Ibrahim Amadou
490,dz ALG,"MF,FW",22,31,30,"2,288",25.4,1,5,1,0,0,7,0,0.04,0.20,0.24,0.04,0.24,1.5,1.5,5.5,6.9,0.06,0.22,0.27,0.06,0.27,Yassine Benzia
491,br BRA,"MF,DF",20,34,28,"2,463",27.4,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.4,1.0,0.02,0.02,0.04,0.02,0.04,Thiago Maia
492,br BRA,MF,25,31,27,"2,294",25.5,3,4,3,0,0,4,1,0.12,0.16,0.27,0.12,0.27,2.5,2.5,2.8,5.2,0.10,0.11,0.21,0.10,0.21,Thiago Mendes
493,sn SEN,DF,20,27,25,"2,055",22.8,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.8,0.01,0.03,0.04,0.01,0.04,Fodé Ballo-Touré
494,br BRA,"FW,MF",21,34,24,"2,018",22.4,5,3,5,0,0,5,0,0.22,0.13,0.36,0.22,0.36,5.2,5.2,1.5,6.6,0.23,0.07,0.29,0.23,0.29,Luiz Araújo
495,ma MAR,DF,26,23,21,"1,817",20.2,0,6,0,0,0,2,0,0.00,0.30,0.30,0.00,0.30,0.4,0.4,3.5,3.8,0.02,0.17,0.19,0.02,0.19,Kévin Malcuit
496,nl NED,"FW,MF",22,27,19,"1,648",18.3,4,4,4,0,0,2,0,0.22,0.22,0.44,0.22,0.44,3.9,3.9,3.1,7.0,0.21,0.17,0.38,0.21,0.38,Anwar El Ghazi
497,ml MLI,"MF,DF",20,24,15,"1,561",17.3,2,1,2,0,0,3,0,0.12,0.06,0.17,0.12,0.17,2.1,2.1,0.7,2.8,0.12,0.04,0.16,0.12,0.16,Yves Bissouma
498,fr FRA,DF,25,14,14,"1,192",13.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.01,0.01,0.01,Adama Soumaoro
499,za RSA,FW,21,14,14,"1,184",13.2,5,0,5,0,0,1,0,0.38,0.00,0.38,0.38,0.38,3.9,3.9,0.9,4.8,0.30,0.07,0.37,0.30,0.37,Lebo Mothiba
500,ci CIV,DF,20,12,10,944,10.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Kouadio-Yves Dabila
501,ma MAR,"DF,MF",19,12,9,851,9.5,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.9,1.0,0.01,0.10,0.10,0.01,0.10,Hamza Mendyl
502,ar ARG,FW,20,28,8,"1,097",12.2,2,1,2,0,0,2,0,0.16,0.08,0.25,0.16,0.25,2.9,2.9,1.9,4.8,0.24,0.15,0.39,0.24,0.39,Ezequiel Ponce
503,bf BFA,GK,20,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Hervé Koffi
504,fr FRA,MF,18,14,3,511,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Boubakary Soumaré
505,fr FRA,"FW,MF",26,4,3,285,3.2,2,0,1,1,1,0,0,0.63,0.00,0.63,0.32,0.32,1.8,1.0,0.2,1.2,0.58,0.06,0.64,0.33,0.39,Nicolas de Préville
506,fr FRA,"MF,FW",22,11,2,307,3.4,1,0,1,0,0,2,0,0.29,0.00,0.29,0.29,0.29,0.2,0.2,0.7,0.9,0.07,0.21,0.28,0.07,0.28,Farès Bahlouli
507,ml MLI,"DF,MF",20,6,1,201,2.2,0,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.0,0.0,0.5,0.5,0.00,0.21,0.21,0.00,0.21,Rominigue Kouamé
508,ma MAR,"MF,DF",18,7,1,162,1.8,0,1,0,0,0,0,0,0.00,0.56,0.56,0.00,0.56,0.2,0.2,1.0,1.2,0.12,0.55,0.68,0.12,0.68,Imad Faraj
509,pt POR,MF,22,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Xeka
510,fr FRA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Ruben Droehnle
511,sk SVK,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Adam Jakubech
512,fr FRA,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Valère Pollet
513,fr FRA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Scotty Sadzoute
514,fr FRA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Benjamin Vérité
515,fr FRA,MF,32,38,38,"3,298",36.6,1,3,1,0,0,6,0,0.03,0.08,0.11,0.03,0.11,1.3,1.3,3.5,4.9,0.04,0.10,0.13,0.04,0.13,Renaud Cohade
516,fr FRA,DF,21,35,34,"3,105",34.5,0,1,0,0,0,8,0,0.00,0.03,0.03,0.00,0.03,1.5,1.5,0.2,1.7,0.04,0.01,0.05,0.04,0.05,Moussa Niakhate
517,fr FRA,"FW,MF",29,35,33,"2,834",31.5,15,1,15,0,1,8,0,0.48,0.03,0.51,0.48,0.51,9.0,8.2,1.9,10.1,0.29,0.06,0.35,0.26,0.32,Nolan Roux
518,tg TOG,"FW,MF",29,30,30,"2,509",27.9,1,11,1,0,0,2,0,0.04,0.39,0.43,0.04,0.43,2.3,2.3,11.1,13.4,0.08,0.40,0.48,0.08,0.48,Mathieu Dossevi
519,jp JPN,GK,34,29,29,"2,569",28.5,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Eiji Kawashima
520,sn SEN,"DF,MF",27,29,26,"2,238",24.9,1,1,1,0,0,8,2,0.04,0.04,0.08,0.04,0.08,0.8,0.8,0.4,1.1,0.03,0.01,0.05,0.03,0.05,Fallou Diagne
521,mq MTQ,DF,28,26,24,"2,064",22.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.01,0.02,0.03,0.01,0.03,Jonathan Rivierez
522,fr FRA,FW,27,28,23,"2,009",22.3,5,2,3,2,2,1,0,0.22,0.09,0.31,0.13,0.22,10.9,9.4,2.0,11.4,0.49,0.09,0.58,0.42,0.51,Emmanuel Rivière
523,al ALB,DF,25,25,22,"1,951",21.7,0,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,1.0,1.1,0.01,0.04,0.05,0.01,0.05,Iván Balliu
524,ar ARG,MF,24,25,17,"1,656",18.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.9,0.03,0.02,0.05,0.03,0.05,Gerónimo Poblete
525,fr FRA,"MF,FW",25,22,16,"1,412",15.7,7,1,6,1,1,5,0,0.45,0.06,0.51,0.38,0.45,4.3,3.6,1.3,4.9,0.28,0.08,0.36,0.23,0.31,Florent Mollet
526,fr FRA,DF,30,15,13,"1,127",12.5,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.01,0.05,0.06,0.01,0.06,Julian Palmieri
527,cm CMR,DF,33,13,13,"1,051",11.7,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.5,0.00,0.04,0.05,0.00,0.05,Benoît Assou-Ekotto
528,lu LUX,DF,20,13,12,"1,056",11.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Vahid Selimović
529,sn SEN,"FW,MF",23,17,11,"1,022",11.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,3.9,3.9,1.2,5.1,0.34,0.11,0.45,0.34,0.45,Opa Nguette
530,cm CMR,"MF,DF",28,14,11,968,10.8,0,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.2,0.7,0.04,0.02,0.06,0.04,0.06,Georges Mandjeck
531,lu LUX,"MF,DF",23,11,10,849,9.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.5,0.02,0.04,0.06,0.02,0.06,Chris Philipps
532,rs SRB,DF,33,10,10,710,7.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.05,0.01,0.06,0.05,0.06,Milan Biševac
533,fr FRA,GK,21,9,9,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Thomas Didillon
534,ba BIH,"MF,FW",31,12,8,712,7.9,0,3,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,0.6,0.6,1.9,2.5,0.08,0.24,0.32,0.08,0.32,Danijel Milićević
535,pt POR,MF,24,10,8,680,7.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.04,0.02,0.07,0.04,0.07,Cafú
536,sn SEN,"FW,MF",18,30,6,849,9.4,2,1,2,0,0,1,0,0.21,0.11,0.32,0.21,0.32,2.8,2.8,1.1,3.9,0.30,0.11,0.41,0.30,0.41,Ibrahima Niane
537,fr FRA,DF,21,6,3,354,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matthieu Udol
538,fr FRA,DF,19,5,3,313,3.5,1,0,1,0,0,1,0,0.29,0.00,0.29,0.29,0.29,0.1,0.1,0.1,0.2,0.03,0.03,0.07,0.03,0.07,Nicolas Basin
539,fr FRA,"FW,MF",33,4,3,275,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.5,0.02,0.15,0.17,0.02,0.17,Yann Jouffre
540,gm GAM,FW,18,2,2,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.9,1.0,0.04,0.63,0.67,0.04,0.67,Ablie Jallow
541,fr FRA,DF,18,3,1,142,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.02,0.04,0.02,0.04,Dylan Lempereur
542,gn GUI,DF,25,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Simon Falette
543,sn SEN,DF,20,2,1,85,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Lemouya Goudiaby
