,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Joelinton,"£ 85,000","£ 4,420,000","£ 4,420,000",F,24,Brazil,Newcastle,Premier League,2020-2021
2,Andy Carroll,"£ 75,000","£ 3,900,000","£ 3,900,000",F,31,England,Newcastle,Premier League,2020-2021
3,Allan Saint-Maximin,"£ 70,000","£ 3,640,000","£ 3,640,000",F,23,France,Newcastle,Premier League,2020-2021
4,Jonjo Shelvey,"£ 70,000","£ 3,640,000","£ 3,640,000",M,28,England,Newcastle,Premier League,2020-2021
5,Emil Krafth,"£ 55,000","£ 2,860,000","£ 2,860,000",D,26,Sweden,Newcastle,Premier League,2020-2021
6,Callum Wilson,"£ 46,000","£ 2,392,000","£ 2,392,000",F,28,England,Newcastle,Premier League,2020-2021
7,Matt Ritchie,"£ 45,000","£ 2,340,000","£ 2,340,000",D,31,Scotland,Newcastle,Premier League,2020-2021
8,Federico Fernández,"£ 43,077","£ 2,240,000","£ 2,240,000",D,31,Argentina,Newcastle,Premier League,2020-2021
9,Miguel Almirón,"£ 42,000","£ 2,184,000","£ 2,184,000",F,26,Paraguay,Newcastle,Premier League,2020-2021
10,Ryan Fraser,"£ 42,000","£ 2,184,000","£ 2,184,000",F,26,Scotland,Newcastle,Premier League,2020-2021
11,Jamaal Lascelles,"£ 40,000","£ 2,080,000","£ 2,080,000",D,26,England,Newcastle,Premier League,2020-2021
12,Dwight Gayle,"£ 40,000","£ 2,080,000","£ 2,080,000",F,30,England,Newcastle,Premier League,2020-2021
13,Martin Dubravka,"£ 40,000","£ 2,080,000","£ 2,080,000",K,31,Slovakia,Newcastle,Premier League,2020-2021
14,Fabian Schär,"£ 40,000","£ 2,080,000","£ 2,080,000",D,28,Switzerland,Newcastle,Premier League,2020-2021
15,Jamal Lewis,"£ 38,000","£ 1,976,000","£ 1,976,000",D,22,Northern Ireland,Newcastle,Premier League,2020-2021
16,Jeff Hendrick,"£ 35,000","£ 1,820,000","£ 1,820,000",M,28,Ireland,Newcastle,Premier League,2020-2021
17,Henri Saivet,"£ 35,000","£ 1,820,000","£ 1,820,000",F,29,Senegal,Newcastle,Premier League,2020-2021
18,Javier Manquillo,"£ 35,000","£ 1,820,000","£ 1,820,000",D,26,Spain,Newcastle,Premier League,2020-2021
19,Ciaran Clark,"£ 35,000","£ 1,820,000","£ 1,820,000",D,31,Ireland,Newcastle,Premier League,2020-2021
20,Paul Dummett,"£ 35,000","£ 1,820,000","£ 1,820,000",D,29,Wales,Newcastle,Premier League,2020-2021
21,Karl Darlow,"£ 30,000","£ 1,560,000","£ 1,560,000",K,30,England,Newcastle,Premier League,2020-2021
22,Christian Atsu,"£ 30,000","£ 1,560,000","£ 1,560,000",F,28,Ghana,Newcastle,Premier League,2020-2021
23,DeAndre Yedlin,"£ 30,000","£ 1,560,000","£ 1,560,000",D,27,United States,Newcastle,Premier League,2020-2021
24,Jacob Murphy,"£ 25,000","£ 1,300,000","£ 1,300,000",F,25,England,Newcastle,Premier League,2020-2021
25,Isaac Hayden,"£ 21,923","£ 1,140,000","£ 1,140,000",M,25,England,Newcastle,Premier League,2020-2021
26,Joe Willock,"£ 20,000","£ 1,040,000","£ 1,040,000",M,21,England,Newcastle,Premier League,2020-2021
27,Achraf Lazaar,"£ 15,000","£ 780,000","£ 780,000",D,28,Morocco,Newcastle,Premier League,2020-2021
28,Rolando Aarons,"£ 15,000","£ 780,000","£ 780,000",F,24,England,Newcastle,Premier League,2020-2021
29,Mark Gillespie,"£ 10,000","£ 520,000","£ 520,000",K,28,England,Newcastle,Premier League,2020-2021
30,Matthew Longstaff,"£ 7,500","£ 390,000","£ 390,000",M,20,England,Newcastle,Premier League,2020-2021
31,Sean Longstaff,"£ 1,000","£ 52,000","£ 52,000",M,22,England,Newcastle,Premier League,2020-2021
32,Dan Langley,£ 500,"£ 26,000","£ 26,000",K,19,England,Newcastle,Premier League,2020-2021
