,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Charlie Austin,"£ 70,000","£ 3,640,000","£ 3,640,000",F,31,England,West Bromwich,Premier League,2020-2021
2,Kieran Gibbs,"£ 55,000","£ 2,860,000","£ 2,860,000",D,31,England,West Bromwich,Premier League,2020-2021
3,Jake Livermore,"£ 46,000","£ 2,392,000","£ 2,392,000",M,30,England,West Bromwich,Premier League,2020-2021
4,Robert Snodgrass,"£ 40,000","£ 2,080,000","£ 2,080,000",F,33,Scotland,West Bromwich,Premier League,2020-2021
5,Branislav Ivanovic,"£ 38,462","£ 2,000,000","£ 2,000,000",D,36,Serbia,West Bromwich,Premier League,2020-2021
6,Ainsley Maitland-Niles,"£ 35,000","£ 1,820,000","£ 1,820,000",M,23,England,West Bromwich,Premier League,2020-2021
7,Hal Robson-Kanu,"£ 30,000","£ 1,560,000","£ 1,560,000",F,31,Wales,West Bromwich,Premier League,2020-2021
8,Sam Johnstone,"£ 30,000","£ 1,560,000","£ 1,560,000",K,27,England,West Bromwich,Premier League,2020-2021
9,Okay Yokuslu,"£ 29,615","£ 1,540,000","£ 1,540,000",M,26,Turkey,West Bromwich,Premier League,2020-2021
10,Ahmed Hegazy,"£ 26,500","£ 1,378,000","£ 1,378,000",D,29,Egypt,West Bromwich,Premier League,2020-2021
11,Kamil Grosicki,"£ 25,000","£ 1,300,000","£ 1,300,000",F,32,Poland,West Bromwich,Premier League,2020-2021
12,Mbaye Diagne,"£ 22,692","£ 1,180,000","£ 1,180,000",F,29,Senegal,West Bromwich,Premier League,2020-2021
13,Cédric Kipré,"£ 22,500","£ 1,170,000","£ 1,170,000",D,23,France,West Bromwich,Premier League,2020-2021
14,Kenneth Zohore,"£ 22,500","£ 1,170,000","£ 1,170,000",F,27,Denmark,West Bromwich,Premier League,2020-2021
15,Grady Diangana,"£ 20,350","£ 1,058,200","£ 1,058,200",F,22,England,West Bromwich,Premier League,2020-2021
16,Matt Phillips,"£ 20,000","£ 1,040,000","£ 1,040,000",F,29,Scotland,West Bromwich,Premier League,2020-2021
17,Karlan Grant,"£ 20,000","£ 1,040,000","£ 1,040,000",F,23,England,West Bromwich,Premier League,2020-2021
18,Darnell Furlong,"£ 18,500","£ 962,000","£ 962,000",D,24,England,West Bromwich,Premier League,2020-2021
19,Semi Ajayi,"£ 16,500","£ 858,000","£ 858,000",D,26,Nigeria,West Bromwich,Premier League,2020-2021
20,Filip Krovinovic,"£ 15,000","£ 780,000","£ 780,000",F,25,Croatia,West Bromwich,Premier League,2020-2021
21,Kyle Bartley,"£ 13,500","£ 702,000","£ 702,000",D,29,England,West Bromwich,Premier League,2020-2021
22,Lee Peltier,"£ 13,500","£ 702,000","£ 702,000",D,33,England,West Bromwich,Premier League,2020-2021
23,Romaine Sawyers,"£ 12,500","£ 650,000","£ 650,000",M,28,St. Kitts & Nevis,West Bromwich,Premier League,2020-2021
24,Conor Townsend,"£ 11,500","£ 598,000","£ 598,000",D,27,England,West Bromwich,Premier League,2020-2021
25,Andy Lonergan,"£ 10,000","£ 520,000","£ 520,000",K,37,England,West Bromwich,Premier League,2020-2021
26,Rekeem Harper,"£ 10,000","£ 520,000","£ 520,000",M,20,England,West Bromwich,Premier League,2020-2021
27,Sam Field,"£ 8,000","£ 416,000","£ 416,000",M,22,England,West Bromwich,Premier League,2020-2021
28,Callum Robinson,"£ 7,692","£ 400,000","£ 400,000",F,25,Ireland,West Bromwich,Premier League,2020-2021
29,Matheus Pereira,"£ 6,000","£ 312,000","£ 312,000",F,24,Brazil,West Bromwich,Premier League,2020-2021
30,Jonathan Bond,"£ 5,500","£ 286,000","£ 286,000",K,27,England,West Bromwich,Premier League,2020-2021
31,Conor Gallagher,"£ 5,000","£ 260,000","£ 260,000",M,20,England,West Bromwich,Premier League,2020-2021
32,David Button,"£ 4,385","£ 228,000","£ 228,000",K,31,England,West Bromwich,Premier League,2020-2021
33,Dara O'Shea,"£ 4,000","£ 208,000","£ 208,000",D,21,Ireland,West Bromwich,Premier League,2020-2021
34,Kyle Edwards,"£ 1,500","£ 78,000","£ 78,000",F,22,England,West Bromwich,Premier League,2020-2021
