,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Ruben Loftus-Cheek,"£ 120,000","£ 6,240,000","£ 6,240,000",M,24,England,Fulham,Premier League,2020-2021
2,André Zambo Anguissa,"£ 67,000","£ 3,484,000","£ 3,484,000",M,24,Cameroon,Fulham,Premier League,2020-2021
3,Jean Michaël Seri,"£ 65,000","£ 3,380,000","£ 3,380,000",M,29,Cote d'Ivoire,Fulham,Premier League,2020-2021
4,Aleksandar Mitrovic,"£ 60,000","£ 3,120,000","£ 3,120,000",F,26,Serbia,Fulham,Premier League,2020-2021
5,Alphonse Areola,"£ 55,000","£ 2,860,000","£ 2,860,000",K,27,France,Fulham,Premier League,2020-2021
6,Joachim Andersen,"£ 52,000","£ 2,704,000","£ 2,704,000",D,24,Denmark,Fulham,Premier League,2020-2021
7,Kenny Tete,"£ 51,000","£ 2,652,000","£ 2,652,000",D,25,Netherlands,Fulham,Premier League,2020-2021
8,Ademola Lookman,"£ 49,500","£ 2,574,000","£ 2,574,000",F,23,England,Fulham,Premier League,2020-2021
9,Fabri,"£ 45,000","£ 2,340,000","£ 2,340,000",K,32,Spain,Fulham,Premier League,2020-2021
10,Tosin Adarabioyo,"£ 40,500","£ 2,106,000","£ 2,106,000",D,23,England,Fulham,Premier League,2020-2021
11,Tom Cairney,"£ 40,000","£ 2,080,000","£ 2,080,000",M,29,Scotland,Fulham,Premier League,2020-2021
12,Mario Lemina,"£ 40,000","£ 2,080,000","£ 2,080,000",M,27,Gabon,Fulham,Premier League,2020-2021
13,Ivan Cavaleiro,"£ 37,500","£ 1,950,000","£ 1,950,000",F,27,Portugal,Fulham,Premier League,2020-2021
14,Bobby Reid,"£ 37,500","£ 1,950,000","£ 1,950,000",F,27,Jamaica,Fulham,Premier League,2020-2021
15,Josh Onomah,"£ 30,000","£ 1,560,000","£ 1,560,000",F,23,England,Fulham,Premier League,2020-2021
16,Joe Bryan,"£ 30,000","£ 1,560,000","£ 1,560,000",D,27,England,Fulham,Premier League,2020-2021
17,Antonee Robinson,"£ 27,500","£ 1,430,000","£ 1,430,000",D,23,United States,Fulham,Premier League,2020-2021
18,Tim Ream,"£ 27,000","£ 1,404,000","£ 1,404,000",D,33,United States,Fulham,Premier League,2020-2021
19,Maxime Le Marchand,"£ 25,000","£ 1,300,000","£ 1,300,000",D,31,France,Fulham,Premier League,2020-2021
20,Ola Aina,"£ 24,000","£ 1,248,000","£ 1,248,000",D,24,Nigeria,Fulham,Premier League,2020-2021
21,Terence Kongolo,"£ 22,000","£ 1,144,000","£ 1,144,000",D,26,Netherlands,Fulham,Premier League,2020-2021
22,Kevin McDonald,"£ 22,000","£ 1,144,000","£ 1,144,000",M,31,Scotland,Fulham,Premier League,2020-2021
23,Michael Hector,"£ 18,500","£ 962,000","£ 962,000",D,28,Jamaica,Fulham,Premier League,2020-2021
24,Neeskens Kebano,"£ 13,462","£ 700,024","£ 700,024",F,28,Democratic Republic of the Congo,Fulham,Premier League,2020-2021
25,Josh Maja,"£ 12,885","£ 670,000","£ 670,000",F,22,Nigeria,Fulham,Premier League,2020-2021
26,Aboubakar Kamara,"£ 12,500","£ 650,000","£ 650,000",F,25,France,Fulham,Premier League,2020-2021
27,Harrison Reed,"£ 12,000","£ 624,000","£ 624,000",M,25,England,Fulham,Premier League,2020-2021
28,Stefan Johansen,"£ 10,000","£ 520,000","£ 520,000",M,29,Norway,Fulham,Premier League,2020-2021
29,Denis Odoi,"£ 8,900","£ 462,800","£ 462,800",D,32,Belgium,Fulham,Premier League,2020-2021
30,Marek Rodak,"£ 4,500","£ 234,000","£ 234,000",K,23,Slovakia,Fulham,Premier League,2020-2021
31,Sylvester Jasper,"£ 1,500","£ 78,000","£ 78,000",F,19,England,Fulham,Premier League,2020-2021
32,Jay Stansfield,£ 750,"£ 39,000","£ 39,000",F,17,England,Fulham,Premier League,2020-2021
33,George Wickens,£ 750,"£ 39,000","£ 39,000",K,18,England,Fulham,Premier League,2020-2021
