,Unnamed: 0,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
0,1,Daniel Torres,"€ 28,750","€ 1,495,000","€ 1,572,927",M,26,Colombia,Alaves,La Liga,2016-2017
1,2,Fernando Pacheco,"€ 19,038","€ 990,000","€ 1,041,604",K,24,Spain,Alaves,La Liga,2016-2017
2,3,Rubén Sobrino,"€ 16,673","€ 867,000","€ 912,192",F,24,Spain,Alaves,La Liga,2016-2017
3,4,Nenad Krsticic,"€ 16,154","€ 840,000","€ 883,785",M,25,Serbia,Alaves,La Liga,2016-2017
4,5,Alexis,"€ 15,712","€ 817,000","€ 859,586",D,30,Spain,Alaves,La Liga,2016-2017
5,6,Ibai Gómez,"€ 15,558","€ 809,000","€ 851,169",F,26,Spain,Alaves,La Liga,2016-2017
6,7,Óscar Romero,"€ 14,308","€ 744,000","€ 782,781",M,23,Paraguay,Alaves,La Liga,2016-2017
7,8,Deyverson,"€ 13,750","€ 715,000","€ 752,269",F,25,Brazil,Alaves,La Liga,2016-2017
8,9,Kiko Femenía,"€ 12,538","€ 652,000","€ 685,985",D,25,Spain,Alaves,La Liga,2016-2017
9,10,Rodrigo Ely,"€ 12,500","€ 650,000","€ 683,881",D,22,Brazil,Alaves,La Liga,2016-2017
10,11,Zouhair Feddal,"€ 10,769","€ 560,000","€ 589,190",D,26,Morocco,Alaves,La Liga,2016-2017
11,12,Víctor Laguardia,"€ 9,865","€ 513,000","€ 539,740",D,26,Spain,Alaves,La Liga,2016-2017
12,13,Christian Santos,"€ 9,788","€ 509,000","€ 535,532",F,28,Venezuela,Alaves,La Liga,2016-2017
13,14,Gaizka Toquero,"€ 9,250","€ 481,000","€ 506,072",F,31,Spain,Alaves,La Liga,2016-2017
14,15,Carlos Vigaray,"€ 8,000","€ 416,000","€ 437,684",D,21,Spain,Alaves,La Liga,2016-2017
