,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
1,Tanguy Ndombélé,"£ 200,000","£ 10,400,000","£ 10,400,000",M,24,France,Tottenham,Premier League,2021-2022
2,Harry Kane,"£ 200,000","£ 10,400,000","£ 10,400,000",F,28,England,Tottenham,Premier League,2021-2022
3,Heung-min Son,"£ 190,000","£ 9,880,000","£ 9,880,000",F,29,South Korea,Tottenham,Premier League,2021-2022
4,Cristian Romero,"£ 165,000","£ 8,580,000","£ 8,580,000",D,23,Argentina,Tottenham,Premier League,2021-2022
5,Dejan Kulusevski,"£ 110,000","£ 5,720,000","£ 5,720,000",F,21,Sweden,Tottenham,Premier League,2021-2022
6,Hugo Lloris,"£ 100,000","£ 5,200,000","£ 5,200,000",K,35,France,Tottenham,Premier League,2021-2022
7,Dele Alli,"£ 100,000","£ 5,200,000","£ 5,200,000",F,25,England,Tottenham,Premier League,2021-2022
8,Pierre-Emile Höjbjerg,"£ 100,000","£ 5,200,000","£ 5,200,000",M,26,Denmark,Tottenham,Premier League,2021-2022
9,Lucas Moura,"£ 90,000","£ 4,680,000","£ 4,680,000",F,29,Brazil,Tottenham,Premier League,2021-2022
10,Eric Dier,"£ 85,000","£ 4,420,000","£ 4,420,000",D,28,England,Tottenham,Premier League,2021-2022
11,Steven Bergwijn,"£ 75,000","£ 3,900,000","£ 3,900,000",F,24,Netherlands,Tottenham,Premier League,2021-2022
12,Rodrigo Bentancur,"£ 75,000","£ 3,900,000","£ 3,900,000",M,24,Uruguay,Tottenham,Premier League,2021-2022
13,Giovani Lo Celso,"£ 70,000","£ 3,640,000","£ 3,640,000",M,25,Argentina,Tottenham,Premier League,2021-2022
14,Davinson Sánchez,"£ 65,000","£ 3,380,000","£ 3,380,000",D,25,Colombia,Tottenham,Premier League,2021-2022
15,Matt Doherty,"£ 65,000","£ 3,380,000","£ 3,380,000",D,30,Ireland,Tottenham,Premier League,2021-2022
16,Ben Davies,"£ 60,000","£ 3,120,000","£ 3,120,000",D,28,Wales,Tottenham,Premier League,2021-2022
17,Ryan Sessegnon,"£ 55,000","£ 2,860,000","£ 2,860,000",M,21,England,Tottenham,Premier League,2021-2022
18,Sergio Reguilón,"£ 53,000","£ 2,756,000","£ 2,756,000",D,25,Spain,Tottenham,Premier League,2021-2022
19,Harry Winks,"£ 50,000","£ 2,600,000","£ 2,600,000",M,26,England,Tottenham,Premier League,2021-2022
20,Bryan Gil,"£ 40,000","£ 2,080,000","£ 2,080,000",F,20,Spain,Tottenham,Premier League,2021-2022
21,Emerson,"£ 40,000","£ 2,080,000","£ 2,080,000",D,23,Brazil,Tottenham,Premier League,2021-2022
22,Oliver Skipp,"£ 40,000","£ 2,080,000","£ 2,080,000",M,21,England,Tottenham,Premier League,2021-2022
23,Jack Clarke,"£ 30,769","£ 1,600,000","£ 1,600,000",F,20,England,Tottenham,Premier League,2021-2022
24,Japhet Tanganga,"£ 25,000","£ 1,300,000","£ 1,300,000",D,22,England,Tottenham,Premier League,2021-2022
25,Pierluigi Gollini,"£ 25,000","£ 1,300,000","£ 1,300,000",K,26,Italy,Tottenham,Premier League,2021-2022
26,Joe Rodon,"£ 9,615","£ 500,000","£ 500,000",D,24,Wales,Tottenham,Premier League,2021-2022
27,Brandon Austin,"£ 5,000","£ 260,000","£ 260,000",K,23,England,Tottenham,Premier League,2021-2022
