,firstName,middleName,lastName,currentTeamId,weight,height,foot,country,cou_code,role,city,name,officialName,wyId
881,Saeid,,Ezatolahi Afagh,13897,78,190,right,Iran,IR,Midfielder,,,,
882,Yoann,,Salmier,3779,85,188,right,France,FR,Defender,Strasbourg,Strasbourg,RC Strasbourg Alsace,3779.0
883,Enes,,Ünal,682,75,185,right,Turkey,TR,Forward,Villarreal,Villarreal,Villarreal Club de Fútbol,682.0
884,Guido,,Guerrieri,3162,78,184,right,Italy,IT,Goalkeeper,Formello,Lazio,SS Lazio,3162.0
885,Roberto,,Gagliardini,3161,77,188,right,Italy,IT,Midfielder,Milano,Internazionale,FC Internazionale Milano,3161.0
886,Carlos,,Soler Barragán,674,76,180,right,Spain,ES,Midfielder,Valencia,Valencia,Valencia Club de Fútbol,674.0
887,Francisco Javier,,Guerrero Martín,684,0,185,right,Spain,ES,Forward,Sevilla,Real Betis,Real Betis Balompié,684.0
888,Gerson,,Santos da Silva,3158,66,175,left,Brazil,BR,Midfielder,Roma,Roma,AS Roma,3158.0
889,Adam,,Masina,3166,87,191,left,Morocco,MA,Defender,Bologna,Bologna,Bologna FC 1909,3166.0
890,Alessandro,,Bastoni,3172,75,190,left,Italy,IT,Defender,Ciserano,Atalanta,Atalanta Bergamasca Calcio,3172.0
891,Mirko,,Antonucci,3158,70,181,right,Italy,IT,Forward,Roma,Roma,AS Roma,3158.0
892,Kévin Manuel,,Rodrigues,687,70,170,left,France,FR,Defender,Donostia-San Sebasti\u00e1n,Real Sociedad,Real Sociedad de Fútbol,687.0
893,Farid,,Boulaya,3777,65,180,right,France,FR,Midfielder,Metz,Metz,FC Metz,3777.0
894,Adrien,,Thomasson,3770,72,177,right,France,FR,Midfielder,La Chapelle-sur-Erdre,Nantes,FC Nantes,3770.0
895,Vasilije,,Janjičić,2450,82,180,right,Switzerland,CH,Midfielder,Hamburg,Hamburger SV,Hamburger SV,2450.0
896,Anthony,,Maisonnial,3782,74,188,right,France,FR,Goalkeeper,Saint-\u00c9tienne,Saint-Étienne,AS Saint-Étienne,3782.0
897,Kouadio Yves,,Dabila,3776,72,183,right,C\u00f4te d'Ivoire,CI,Defender,Villeneuve-d'Ascq,Lille,Lille OSC Métropole,3776.0
898,Amine,,Harit,2449,67,179,right,France,FR,Midfielder,Gelsenkirchen,Schalke 04,FC Schalke 04,2449.0
899,Morgan,,Sanson,3771,73,180,right,France,FR,Midfielder,Marseille,Olympique Marseille,Olympique de Marseille,3771.0
900,Corentin,,Tolisso,2444,78,181,right,France,FR,Midfielder,M\u00fcnchen,Bayern München,FC Bayern München,2444.0
901,Abdallah,,N'Dour,3779,70,186,left,Senegal,SN,Defender,Strasbourg,Strasbourg,RC Strasbourg Alsace,3779.0
902,Adrien,,Rabiot,3767,71,188,left,France,FR,Midfielder,Paris,PSG,Paris Saint-Germain FC,3767.0
903,Pione,,Sisto Ifolo Emirmija,692,64,171,right,South Sudan,SS,Midfielder,Vigo,Celta de Vigo,Real Club Celta de Vigo,692.0
